idx,date,price,kind,confirm_idx,confirm_date
1,2024-06-04,4.05,top,14,2024-06-24
68,2024-09-06,2.95,bottom,73,2024-09-13
83,2024-10-08,4.67,top,84,2024-10-09
86,2024-10-11,3.79,bottom,105,2024-11-07
130,2024-12-12,4.66,top,135,2024-12-19
204,2025-04-07,3.1,bottom,214,2025-04-21
268,2025-07-10,5.5,top,271,2025-07-15
271,2025-07-15,4.78,bottom,294,2025-08-15
303,2025-08-28,7.87,top,311,2025-09-09
333,2025-10-17,5.78,bottom,340,2025-10-28
341,2025-10-29,6.78,top,350,2025-11-11
358,2025-11-21,5.42,bottom,368,2025-12-05
370,2025-12-09,7.84,top,374,2025-12-15
378,2025-12-19,6.42,bottom,388,2026-01-06
418,2026-02-25,15.75,top,422,2026-03-03
436,2026-03-23,10.25,bottom,441,2026-03-30
469,2026-05-13,20.31,top,475,2026-05-21
475,2026-05-21,17.8,bottom,476,2026-05-22
480,2026-05-28,24.77,top,482,2026-06-01
482,2026-06-01,21.35,bottom,488,2026-06-09
500,2026-06-26,52.25,top,504,2026-07-02
511,2026-07-13,33.96,bottom,512,2026-07-14
512,2026-07-14,39.08,top,515,2026-07-17
520,2026-07-24,25.7,bottom,521,2026-07-27
524,2026-07-30,32.93,top,526,2026-08-03
526,2026-08-03,27.88,bottom,528,2026-08-05
532,2026-08-11,39.39,top,538,2026-08-19
550,2026-09-04,26.38,bottom,555,2026-09-11
