date,price,close,premium_pct,volume,amount,buyer,seller
2025-06-24,3.59,3.64,-1.3736263736,1600000,5744000,中信建投证券股份有限公司东三环中路证券营业部,中信证券股份有限公司北京安外大街证券营业部
2025-06-25,3.61,3.66,-1.3661202185999999,3500000,12635000,中信证券股份有限公司北京呼家楼证券营业部,中信证券股份有限公司北京安外大街证券营业部
2025-06-26,3.58,3.63,-1.3774104683000001,3500000,12530000,方正证券股份有限公司上海杨高南路证券营业部,中信证券股份有限公司北京安外大街证券营业部
2025-06-27,3.55,3.6,-1.3888888889,4700000,16685000,方正证券股份有限公司上海杨高南路证券营业部,中信证券股份有限公司北京安外大街证券营业部
2025-06-30,3.59,3.64,-1.3736263736,6500000,23335000,中信证券股份有限公司北京总部证券营业部,中信证券股份有限公司北京安外大街证券营业部
2025-07-01,3.83,3.89,-1.5424164524,8800000,33704000,中信建投证券股份有限公司东三环中路证券营业部,中信证券股份有限公司北京安外大街证券营业部
2025-07-02,3.72,3.78,-1.5873015873,4494000,16717700,中信证券股份有限公司北京呼家楼证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-05-08,18.23,18.6,-1.9892473118,2700000,49221000,西部证券股份有限公司西安东大街证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-05-13,19.51,20.32,-3.9862204724,1250000,24387500,中信证券股份有限公司北京总部证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-05-14,18.72,19.1,-1.9895287958,2700000,50544000,中信建投证券股份有限公司北京东城分公司,中信证券股份有限公司北京安外大街证券营业部
2026-05-18,18.34,18.7,-1.9251336898000002,2800000,51352000,中信证券股份有限公司北京呼家楼证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-05-19,18.33,18.7,-1.9786096257,870000,15947100,万联证券股份有限公司深圳海德三道证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-05-20,18.4,18.78,-2.02342918,1730000,31832000,中信建投证券股份有限公司北京东城分公司,中信证券股份有限公司北京安外大街证券营业部
2026-05-22,19.67,20.49,-4.0019521718,1007000,19807700,中信建投证券股份有限公司北京东城分公司,中信证券股份有限公司北京安外大街证券营业部
2026-05-25,20.48,21.56,-5.0092764378,1900000,38912000,东海证券股份有限公司上海浦东新区东方路分公司,中信证券股份有限公司北京安外大街证券营业部
2026-05-26,21.66,22.8,-5.0,3924000,84993800,中信建投证券股份有限公司北京东城分公司,中信证券股份有限公司北京安外大街证券营业部
2026-05-27,20.93,21.58,-3.0120481928,1300000,27209000,东兴证券股份有限公司成都都江堰市彩虹大道证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-05-28,23.54,24.78,-5.0040355125,1300000,30602000,中信证券股份有限公司北京总部证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-05-29,22.42,23.35,-3.9828693790000003,5630000,126224600,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-06-01,20.93,21.36,-2.0131086142,2900000,60697000,广发证券股份有限公司深圳壹方中心证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-06-02,22.25,23.18,-4.0120793788,2100000,46725000,东兴证券股份有限公司成都都江堰市彩虹大道证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-06-03,21.35,22.01,-2.9986369832,1873500,39999200,中信建投证券股份有限公司北京东城分公司,中信证券股份有限公司北京安外大街证券营业部
2026-06-04,21.78,22.69,-4.0105773468,7300000,158994000,广发证券股份有限公司深圳壹方中心证券营业部,中信证券股份有限公司北京安外大街证券营业部
2026-06-17,38.22,40.23,-4.9962714392,1200000,45864000,东海证券股份有限公司上海浦东新区东方路分公司,中信证券股份有限公司北京安外大街证券营业部
2026-06-24,44.08,44.98,-2.0008892841,593700,26171600,中信证券股份有限公司北京总部证券营业部,中信证券股份有限公司北京安外大街证券营业部
