date,holders,holders_prev,holders_chg,holders_chg_pct,avg_mktcap,avg_shares,total_mktcap,total_shares
2021-06-24,6,0,6,,,,,
2021-11-05,6,6,0,0.0,,511813008.0,,3070878048.0
2022-02-15,6,6,0,0.0,,511813008.0,,3070878048.0
2022-05-30,6,6,0,0.0,,511813008.0,,3070878048.0
2022-07-13,6,6,0,0.0,,511813008.0,,3070878048.0
2022-09-08,6,6,0,0.0,,511813008.0,,3070878048.0
2023-06-11,6,6,0,0.0,,511813008.0,,3070878048.0
2023-12-07,6,6,0,0.0,,511813008.0,,3070878048.0
2023-12-26,428575,6,428569,7142816.66666667,58247.0108563495,8798.64212331564,24963212677.76,3770878048.0
2023-12-31,177904,428575,-250671,-58.489412588228,117214.652877057,21196.1397607699,20852955605.44,3770878048.0
2024-01-10,149758,177904,-28146,-15.820892166562,142769.525048144,25179.8104141348,21380878532.16,3770878048.0
2024-02-08,122353,149758,-27405,-18.299523230812,137147.49383832,30819.6615367012,16780407313.6,3770878048.0
2024-02-29,110404,122353,-11949,-9.76600492019,169068.569414152,34155.2665483135,18665846337.6,3770878048.0
2024-03-08,107740,110404,-2664,-2.412956052317,165549.036263598,34999.796250232,17836253167.04,3770878048.0
2024-03-20,103171,107740,-4569,-4.240764804158,177266.465700633,36549.7867423985,18288758532.8,3770878048.0
2024-03-29,100912,103171,-2259,-2.189568774171,164792.811476138,37367.9844617092,16629572191.68,3770878048.0
2024-03-31,100912,100912,0,0.0,164792.811476138,37367.9844617092,16629572191.68,3770878048.0
2024-04-10,99646,100912,-1266,-1.254558427144,160453.233682436,37842.7437930273,15988522923.52,3770878048.0
2024-04-19,99278,99646,-368,-0.369307348012,164466.467372832,37983.0178690143,16327901947.84,3770878048.0
2024-04-30,96104,99278,-3174,-3.197082938818,160873.636860068,39237.4724048947,15460599996.8,3770878048.0
2024-05-10,94113,96104,-1991,-2.071713976525,165479.01287006,40067.5575956563,15573726338.24,3770878048.0
2024-05-20,96272,94113,2159,2.294050768757,169601.773598139,39169.0008309789,16327901947.84,3770878048.0
2024-05-31,92072,96272,-4200,-4.362639188965,168737.700470936,40955.7525414893,15536017557.76,3770878048.0
2024-06-07,90235,92072,-1837,-1.995177687028,160889.682327257,41789.5278772095,14517880484.8,3770878048.0
2024-06-20,88988,90235,-1247,-1.381947138028,157635.482745539,42375.1297703061,14027666338.56,3770878048.0
2024-06-30,84759,88988,-4229,-4.752326156336,148149.741028563,44489.4117202893,12557023899.84,3770878048.0
2024-07-10,83335,84759,-1424,-1.680057575007,146156.31001428,45249.6315833683,12179936095.04,3770878048.0
2024-07-19,82279,83335,-1056,-1.267174656507,149865.351024684,45830.3825763561,12330771216.96,3770878048.0
2024-08-30,74612,82279,-7667,-9.318295069216,155157.288470487,50539.8333780089,11576595607.36,3770878048.0
2024-09-20,80957,74612,6345,8.503993995604,156504.690654051,46578.7769803723,12670150241.28,3770878048.0
2024-09-30,77660,80957,-3297,-4.072532331979,203450.669857327,48556.2457893381,15799979021.12,3770878048.0
2024-10-18,72660,77660,-5000,-6.438320885913,207590.313680154,51897.5784200385,15083512192.0,3770878048.0
2024-11-08,68586,72660,-4074,-5.606936416185,235315.633590529,54980.2882220861,16139358045.44,3770878048.0
2024-11-29,65855,68586,-2731,-3.981862187618,234194.68857824,57260.3150558044,15422891216.32,3770878048.0
2024-12-20,63764,65855,-2091,-3.175157543087,243648.729028292,59138.0410262844,15536017557.76,3770878048.0
2024-12-31,62049,63764,-1715,-2.689605419986,224858.559809183,60772.5837322116,13952248777.6,3770878048.0
2025-02-20,60351,62049,-1698,-2.736546922593,216814.084713758,62482.4451624662,13084946826.56,3770878048.0
2025-02-28,59688,60351,-663,-1.098573345926,219854.168459992,63176.4851896529,13122655607.04,3770878048.0
2025-03-31,57783,59688,-1905,-3.191596300764,220576.429092294,65259.2985480158,12745567802.24,3770878048.0
2025-04-18,56350,57783,-1433,-2.479968156724,220163.066156522,66918.8650931677,12406188777.92,3770878048.0
2025-04-30,58210,56350,1860,3.300798580302,237096.953370211,64780.5883525168,13801413655.68,3770878048.0
2025-06-30,55044,58210,-3166,-5.438928019241,249364.074099266,68506.6137635346,13725996094.72,3770878048.0
2025-07-10,107502,55044,52458,95.301940265969,192925.05501293,35077.2827296236,20739829264.0,3770878048.0
2025-07-18,87615,107502,-19887,-18.499190712731,212183.173847401,43039.1833361867,18590428776.64,3770878048.0
2025-07-31,78990,87615,-8625,-9.844204759459,232964.740780352,47738.6763894164,18401884874.24,3770878048.0
2025-08-08,74543,78990,-4447,-5.629826560324,250403.74465208,50586.6150812283,18665846337.6,3770878048.0
