date,open,high,low,close,volume
2024-06-03,4003.469,4036.448,3981.76,4005.462,708610810
2024-06-04,3995.133,4054.342,3991.628,4043.257,655400509
2024-06-05,4038.562,4083.925,4035.883,4043.347,589610267
2024-06-06,4049.93,4056.308,4000.882,4012.326,703993875
2024-06-07,3999.041,4011.955,3907.826,3941.151,585418042
2024-06-11,3912.163,3959.6,3895.43,3952.883,617435373
2024-06-12,3937.384,3953.622,3919.048,3919.048,659378124
2024-06-13,3936.922,3949.338,3903.714,3909.192,817393653
2024-06-14,3910.867,3918.182,3847.69,3918.182,1101601184
2024-06-17,3889.616,3950.829,3888.049,3940.947,905121589
2024-06-18,3939.65,3961.007,3928.587,3945.402,737793500
2024-06-19,3949.071,3951.14,3894.488,3894.488,650854145
2024-06-20,3888.322,3910.196,3849.847,3853.19,697131766
2024-06-21,3844.112,3855.107,3803.708,3837.333,638916387
2024-06-24,3815.924,3844.996,3796.138,3800.084,702184572
2024-06-25,3791.707,3799.593,3729.4,3748.096,688718426
2024-06-26,3741.485,3811.355,3730.888,3805.635,781843414
2024-06-27,3787.859,3794.531,3758.156,3761.907,687648986
2024-06-28,3741.917,3790.274,3712.875,3721.632,753148434
2024-07-01,3710.202,3722.584,3628.752,3687.431,687504283
2024-07-02,3675.85,3691.179,3642.898,3652.32,693875661
2024-07-03,3650.156,3670.244,3616.868,3637.098,618043537
2024-07-04,3648.479,3666.91,3617.124,3619.043,631062698
2024-07-05,3621.735,3650.464,3586.041,3634.92,725082202
2024-07-08,3628.21,3628.21,3568.926,3576.582,623710062
2024-07-09,3573.067,3634.165,3545.369,3618.301,873516957
2024-07-10,3600.754,3650.363,3599.99,3617.463,754433227
2024-07-11,3663.737,3721.677,3638.775,3698.787,1050985375
2024-07-12,3699.398,3709.039,3665.045,3691.097,775654170
2024-07-15,3676.753,3686.178,3654.661,3665.103,669153187
2024-07-16,3659.036,3712.965,3659.036,3709.276,899034059
2024-07-17,3699.823,3741.1,3684.424,3721.399,980070975
2024-07-18,3695.028,3773.407,3686.669,3768.976,936576038
2024-07-19,3749.29,3801.524,3746.715,3789.731,819308512
2024-07-22,3793.5,3803.282,3760.917,3783.769,720947989
2024-07-23,3773.968,3773.968,3665.708,3665.723,675545339
2024-07-24,3654.387,3674.625,3594.724,3606.314,667160057
2024-07-25,3592.609,3619.445,3579.21,3596.401,636136872
2024-07-26,3605.271,3644.908,3598.594,3626.8,625880354
2024-07-29,3614.385,3614.385,3546.845,3547.785,579549267
2024-07-30,3537.04,3545.806,3511.542,3532.11,509754507
2024-07-31,3517.405,3664.363,3517.405,3658.17,957930814
2024-08-01,3655.574,3666.523,3603.381,3610.149,731428282
2024-08-02,3588.129,3646.476,3580.364,3586.446,719771624
2024-08-05,3561.306,3631.795,3534.884,3534.997,866173010
2024-08-06,3566.778,3596.213,3535.803,3563.251,709589134
2024-08-07,3558.982,3583.513,3547.046,3560.673,598712226
2024-08-08,3549.143,3590.375,3525.733,3556.414,550163061
2024-08-09,3570.183,3588.207,3519.046,3519.533,474909638
2024-08-12,3515.986,3529.187,3501.045,3509.002,465820097
2024-08-13,3504.954,3518.157,3477.229,3518.157,473489952
2024-08-14,3511.416,3511.416,3461.925,3462.131,440091020
2024-08-15,3453.827,3522.045,3452.344,3483.198,616497315
2024-08-16,3480.398,3493.585,3464.345,3474.891,530376533
2024-08-19,3469.229,3514.228,3468.906,3471.0,541686323
2024-08-20,3468.625,3472.106,3424.651,3430.691,692887067
2024-08-21,3419.708,3440.545,3407.143,3409.567,754275593
2024-08-22,3407.369,3417.302,3372.962,3380.242,739824662
2024-08-23,3362.733,3400.222,3362.733,3385.891,617781524
2024-08-26,3394.407,3404.527,3361.74,3373.934,771911012
2024-08-27,3361.249,3376.135,3351.453,3359.832,763712455
2024-08-28,3352.145,3367.653,3335.155,3350.729,618491508
2024-08-29,3321.983,3411.632,3321.983,3389.359,775306284
2024-08-30,3411.854,3541.319,3411.854,3493.57,1030636211
2024-09-02,3486.056,3492.718,3403.795,3405.48,786097635
2024-09-03,3396.077,3459.696,3395.087,3446.421,631291013
2024-09-04,3428.044,3490.809,3420.847,3451.859,626103306
2024-09-05,3452.483,3494.637,3452.004,3473.619,581060386
2024-09-06,3471.396,3473.281,3409.581,3411.279,483597539
2024-09-09,3389.004,3436.825,3383.508,3407.24,544542208
2024-09-10,3410.812,3438.985,3377.552,3413.129,543888447
2024-09-11,3408.472,3458.72,3396.175,3448.19,584117766
2024-09-12,3455.131,3475.521,3415.656,3418.123,602947981
2024-09-13,3419.295,3419.295,3371.149,3371.212,578201049
2024-09-18,3368.522,3387.814,3349.438,3371.813,465779517
2024-09-19,3393.897,3439.262,3347.016,3407.307,650950118
2024-09-20,3409.835,3409.835,3365.562,3389.734,531284833
2024-09-23,3390.692,3412.712,3360.272,3364.087,480396529
2024-09-24,3399.76,3526.971,3370.332,3522.117,1081765608
2024-09-25,3595.531,3655.049,3571.579,3574.205,1199081812
2024-09-26,3565.056,3704.726,3527.204,3700.292,1230686963
2024-09-27,3785.566,4144.359,3785.566,4056.142,2108958675
2024-09-30,4288.976,4667.329,4207.413,4641.191,3211553745
2024-10-08,5502.834,5502.834,4964.182,5382.228,4242396988
2024-10-09,5132.629,5249.776,4777.57,4777.57,3656116116
2024-10-10,4825.078,4890.513,4622.117,4694.582,2285267833
2024-10-11,4635.07,4658.468,4373.226,4439.579,1873652531
2024-10-14,4492.314,4562.672,4375.353,4549.223,1826187198
2024-10-15,4545.729,4582.999,4408.292,4411.703,1766559141
2024-10-16,4314.963,4403.406,4292.946,4322.469,1428495554
2024-10-17,4353.374,4392.62,4291.552,4294.917,1536963096
2024-10-18,4277.951,4752.819,4272.757,4592.568,2458617171
2024-10-21,4638.937,4739.142,4564.379,4621.485,2359019088
2024-10-22,4606.123,4646.266,4553.705,4615.507,1903867162
2024-10-23,4595.591,4685.639,4565.938,4597.154,1859968380
2024-10-24,4547.676,4576.003,4521.059,4536.479,1417931072
2024-10-25,4562.974,4723.025,4540.087,4652.968,1788781483
2024-10-28,4632.819,4646.181,4573.192,4645.815,1590380162
2024-10-29,4657.98,4668.312,4551.784,4555.53,1740267673
2024-10-30,4502.658,4561.432,4448.718,4499.154,1448579570
2024-10-31,4485.323,4563.365,4441.716,4499.071,1629413599
2024-11-01,4478.992,4488.903,4407.587,4411.729,1533466173
2024-11-04,4411.14,4543.912,4411.14,4543.912,1141293679
2024-11-05,4534.107,4757.941,4511.893,4744.545,1910890293
2024-11-06,4743.009,4886.021,4683.329,4721.012,2049679323
2024-11-07,4689.103,4893.807,4680.409,4893.807,2064254119
2024-11-08,4971.205,4998.921,4842.883,4850.256,2259518932
2024-11-11,4802.564,4990.121,4800.221,4986.658,2358602681
2024-11-12,5020.454,5099.596,4947.8,5004.229,2942529100
2024-11-13,4951.411,5046.612,4888.966,5025.422,1995676690
2024-11-14,5011.355,5033.051,4862.396,4871.02,1624886233
2024-11-15,4833.703,4876.17,4682.322,4682.322,1562086600
2024-11-18,4685.798,4705.741,4539.747,4572.063,1528899445
2024-11-19,4591.744,4710.057,4540.996,4707.888,1283137238
2024-11-20,4678.875,4770.579,4659.834,4736.277,1436555277
2024-11-21,4704.225,4765.327,4697.042,4732.029,1303329295
2024-11-22,4718.951,4727.649,4539.672,4539.672,1440766866
2024-11-25,4560.388,4580.133,4475.485,4545.326,1138101754
2024-11-26,4518.991,4590.894,4511.728,4516.094,1021413843
2024-11-27,4486.3,4649.89,4460.009,4648.743,1189731099
2024-11-28,4640.765,4645.563,4553.646,4561.716,1055225440
2024-11-29,4549.127,4747.866,4549.127,4670.096,1302169490
2024-12-02,4650.453,4743.749,4647.99,4736.522,1397529718
2024-12-03,4734.479,4752.532,4675.029,4718.486,1195824593
2024-12-04,4712.921,4736.131,4652.339,4670.487,1160641232
2024-12-05,4651.603,4701.324,4643.276,4670.535,1039202583
2024-12-06,4669.58,4807.319,4657.71,4759.59,1357476211
2024-12-09,4751.862,4767.548,4687.663,4722.947,1238666877
2024-12-10,4949.413,4953.284,4757.996,4765.683,1928154726
2024-12-11,4751.576,4782.95,4728.5,4751.821,1553372919
2024-12-12,4736.312,4821.244,4732.321,4801.622,1496033906
