date,seq,code,name,reason,close,pct_chg,lhb_net,lhb_buy,lhb_sell,lhb_amount,mkt_amount,net_ratio,amount_ratio,turnover,float_mktcap,lhb_reason,fwd1,fwd2,fwd5,fwd10
2025-07-08,23479,301526,国际复材,主力做T，成功率46.41%,5.04,20.0,-55663229.5,326914491.52,382577721.02,709492212.54,3226016043.0,-1.725448006397,21.992829641362,19.2248,7078140331.92,连续三个交易日内，涨幅偏离值累计达到30%的证券,5.95238095,9.12698413,-5.15873016,-2.38095238
2025-08-15,23477,301526,国际复材,买一主买，成功率45.00%,6.38,19.9248,256183966.19,393463200.15,137279233.96,530742434.11,1614244657.0,15.870206853657,32.878686127812,19.0395,8960026848.74,日涨幅达到15%的前5只证券,9.87460815,2.97805643,1.56739812,21.78683386
2025-08-18,23476,301526,国际复材,主力做T，成功率22.57%,7.01,9.8746,-134068814.12,527246822.47,661315636.59,1188562459.06,5708201951.0,-2.348704815822,20.8220113665,29.4695,9844794390.23,连续三个交易日内，涨幅偏离值累计达到30%的证券,-6.2767475,-8.41654779,-4.70756063,8.70185449
2025-08-28,23475,301526,国际复材,2家机构买入，成功率51.41%,7.87,19.9695,296477405.86,511346872.26,214869466.4,726216338.66,2133073851.0,13.899068976023,34.045531912528,20.6585,11052572304.01,日涨幅达到15%的前5只证券,-1.27064803,-3.17662008,-11.43583227,-7.24269377
2025-12-05,23474,301526,国际复材,2家机构买入，成功率45.59%,7.25,20.0331,-199989313.08,396439007.22,596428320.3,992867327.52,2807089335.0,-7.124437066767,35.369993934304,28.8673,10181848691.75,日涨幅达到15%的前5只证券,6.48275862,8.13793103,-2.20689655,-11.44827586
2025-12-08,23473,301526,国际复材,3家机构买入，成功率44.30%,7.72,6.4828,-162133182.38,839143080.57,1001276262.95,1840419343.52,6456807402.0,-2.511042567721,28.503550267737,27.7863,10841913365.56,连续三个交易日内，涨幅偏离值累计达到30%的证券,1.55440415,0.64766839,-11.52849741,-13.86010363
2026-02-11,23472,301526,国际复材,普通席位买入，成功率48.50%,11.8,20.0407,424688012.36,582158830.33,157470817.97,739629648.3,1729129188.0,24.560802935217,42.774689909404,10.7747,16571836491.4,日涨幅达到15%的前5只证券,8.22033898,7.28813559,32.20338983,9.83050847
2026-02-12,23471,301526,国际复材,2家机构买入，成功率40.61%,12.77,8.2203,338695251.03,1421338617.13,1082643366.1,2503981983.23,8365633693.0,4.048650269177,29.931766978098,27.2672,17934097626.71,连续三个交易日内，涨幅偏离值累计达到30%的证券,-0.86139389,18.95066562,10.3367267,-1.80109632
2026-02-24,23470,301526,国际复材,3家机构买入，成功率20.31%,15.19,19.9842,34553449.15,605895205.47,571341756.32,1177236961.79,3447520525.0,1.002269570244,34.147351792489,16.7278,21332728500.37,日涨幅达到15%的前5只证券,3.75246873,2.69914417,-15.66820276,-14.48321264
2026-04-13,23469,301526,国际复材,4家机构买入，成功率38.17%,14.83,16.0407,390329292.76,833404871.78,443075579.02,1276480450.8,4577455387.0,8.527211294479,27.886245585816,22.9153,20827147048.09,日涨幅达到15%的前5只证券,0.20229265,-3.84356035,-6.4733648,4.045853
2026-06-15,23468,301526,国际复材,4家机构买入，成功率35.09%,34.13,20.007,268777357.14,1298112313.51,1029334956.37,2327447269.88,6147257522.0,4.372313282437,37.86155471038,13.5605,47931930461.99,日涨幅达到15%的前5只证券,13.33138002,17.87283914,12.07149136,36.74186932
2026-06-26,23466,301526,国际复材,3家机构买入，成功率21.76%,52.27,9.1688,-318619339.940001,4087271193.74,4405890533.68,8493161727.42,26632938582.0,-1.196335653908,31.889690659821,12.6658,73407618085.21,连续三个交易日内，涨幅偏离值累计达到30%的证券,-8.51348766,-10.71360245,-10.06292035,-27.70965102
2026-07-27,23465,301526,国际复材,3家机构买入，成功率26.56%,30.84,20.0,720425872.57,1865102122.98,1144676250.41,3009778373.39,6471469116.0,11.132338880963,46.508425203617,16.0606,43311477745.32,日涨幅达到15%的前5只证券,-6.38780804,-2.07522698,-9.59792477,23.60570687
