date,close,pct_chg,rz_balance,rz_buy,rz_repay,rz_net,rz_balance_pct_float,rq_balance,rq_volume,rzrq_balance,float_mktcap
2023-12-26,6.62,148.8722,87517513,95922656,8405143,87517513,2.42116235,0,0,87517513,3614689988.36
2023-12-27,5.46,-17.5227,102657586,75144564,60004491,15140073,3.44338306,0,0,102657586,2981300201.88
2023-12-28,5.55,1.6484,103000148,64418246,64075684,342562,3.39884844,0,0,103000148,3030442512.9
2023-12-29,5.53,-0.3604,107012118,49423457,45411487,4011970,3.54400856,0,0,107012118,3019521999.34
2024-01-02,5.28,-4.5208,120454249,41870351,28428220,13442131,4.17806445,0,0,120454249,2883015579.84
2024-01-03,5.02,-4.9242,138035098,47809600,30228751,17580849,5.03584952,219374,43700,138254472,2741048903.56
2024-01-04,5.33,6.1753,130643794,47202083,54593387,-7391304,4.48898866,232921,43700,130876715,2910316863.74
2024-01-05,5.66,6.1914,144511352,112861399,98993841,13867558,4.67597808,247342,43700,144758694,3090505337.48
2024-01-08,5.54,-2.1201,144587817,49815831,49739366,76465,4.77979058,242098,43700,144829915,3024982256.12
2024-01-09,5.25,-5.2347,132620626,34066097,46033288,-11967191,4.62635232,228375,43500,132849001,2866634809.5
2024-01-10,5.67,8.0,140625066,61767744,53763304,8004440,4.54220377,247779,43700,140872845,3095965594.26
2024-01-11,5.68,0.1764,130798790,58792925,68619201,-9826276,4.21737602,248136,43686,131046926,3101425851.04
2024-01-12,5.57,-1.9366,129440740,64783081,66141131,-1358050,4.25601084,243409,43700,129684149,3041363026.46
2024-01-15,5.43,-2.5135,128688929,38515002,39266813,-751811,4.34038536,237291,43700,128926220,2964919431.54
2024-01-16,5.39,-0.7366,139625055,40961346,30025220,10936126,4.74418401,235543,43700,139860598,2943078404.42
2024-01-17,5.12,-5.0093,137290364,24963855,27298546,-2334691,4.91085407,223744,43700,137514108,2795651471.36
2024-01-18,5.45,6.4453,137573376,41130214,40847202,283012,4.62300992,238165,43700,137811541,2975839945.1
2024-01-19,5.18,-4.9541,140281270,33242776,30534882,2707894,4.95971661,211862,40900,140493132,2828413012.04
2024-01-22,5.09,-1.7375,137576836,20743491,23447925,-2704434,4.95010565,217852,42800,137794688,2779270701.02
2024-01-23,5.22,2.554,136064382,24784487,26296941,-1512454,4.77376333,228114,43700,136292496,2850254039.16
2024-01-24,5.26,0.7663,141372639,30090116,24781859,5308257,4.92228271,229862,43700,141602501,2872095066.28
2024-01-25,5.29,0.5703,138934433,34473140,36911346,-2438206,4.80995656,157113,29700,139091546,2888475836.62
2024-01-26,5.7,7.7505,153491013,88410085,73853505,14556580,4.9316816,249090,43700,153740103,3112346364.6
2024-01-29,5.61,-1.5789,159319711,78286169,72457471,5828698,5.20108057,245157,43700,159564868,3063204053.58
2024-01-30,5.18,-7.6649,145203518,36257736,50373929,-14116193,5.13374523,0,0,145203518,2828413012.04
2024-01-31,5.11,-1.3514,144075167,24350382,25478733,-1128351,5.16363059,0,0,144075167,2790191214.58
2024-02-01,5.18,1.3699,136531982,15626012,23169197,-7543185,4.8271586,0,0,136531982,2828413012.04
2024-02-02,4.64,-10.4247,116695773,25973382,45809591,-19836209,4.60600153,367024,79100,117062797,2533559145.92
2024-02-05,3.98,-14.2241,110330605,15656550,22021718,-6365168,5.07691463,314818,79100,110645423,2173182198.44
2024-02-06,4.41,10.804,105896002,13727197,18161800,-4434603,4.39772337,335160,76000,106231162,2407973239.98
2024-02-07,4.22,-4.3084,107118865,16875754,15652891,1222863,4.64879553,0,0,107118865,2304228361.16
2024-02-08,4.45,5.4502,105961161,17771533,18929237,-1157704,4.36087492,0,0,105961161,2429814267.1
2024-02-19,4.59,3.1461,109484351,19336559,15813369,3523190,4.3684392,0,0,109484351,2506257862.02
2024-02-20,4.65,1.3072,113692271,23682950,19475030,4207920,4.47780237,0,0,113692271,2539019402.7
2024-02-21,4.7,1.0753,113205498,27010764,27497537,-486773,4.41119844,0,0,113205498,2566320686.6
2024-02-22,4.72,0.4255,118487706,22103058,16820850,5282208,4.59746282,0,0,118487706,2577241200.16
2024-02-23,4.81,1.9068,103815914,15235440,29907232,-14671792,3.95280863,0,0,103815914,2626383511.18
2024-02-26,4.85,0.8316,111184489,27549359,20180784,7368575,4.198454,0,0,111184489,2648224538.3
2024-02-27,5.08,4.7423,111747380,28147007,27584116,562891,4.02865957,0,0,111747380,2773810444.24
2024-02-28,4.75,-6.4961,113313861,36066194,34499713,1566481,4.36894283,0,0,113313861,2593621970.5
2024-02-29,4.95,4.2105,110874100,17645610,20085371,-2439761,4.10215288,0,0,110874100,2702827106.1
