date,index,open,high,low,close,volume
2024-01-02,8070,2972.775,2976.268,2962.276,2962.276,30414179300
2024-01-03,8071,2957.112,2971.283,2953.29,2967.247,28545594500
2024-01-04,8072,2965.509,2966.683,2936.635,2954.349,26498092400
2024-01-05,8073,2949.822,2967.968,2916.721,2929.183,30104023900
2024-01-08,8074,2923.457,2924.456,2887.538,2887.538,27027505500
2024-01-09,8075,2887.11,2900.727,2878.412,2893.251,26295597500
2024-01-10,8076,2886.981,2903.162,2870.416,2877.702,24404652600
2024-01-11,8077,2873.798,2896.179,2867.722,2886.65,26705076400
2024-01-12,8078,2880.04,2904.174,2878.875,2881.977,26160293100
2024-01-15,8079,2872.556,2904.464,2869.224,2886.291,24461123600
2024-01-16,8080,2881.56,2896.683,2861.13,2893.989,28628671400
2024-01-17,8081,2887.292,2887.489,2833.615,2833.615,26125130800
2024-01-18,8082,2822.667,2849.256,2760.978,2845.784,39039685500
2024-01-19,8083,2836.975,2849.876,2822.843,2832.279,26666438800
2024-01-22,8084,2826.503,2828.32,2735.372,2756.34,35016575800
2024-01-23,8085,2746.892,2784.841,2724.157,2770.976,30874941700
2024-01-24,8086,2782.142,2823.695,2743.397,2820.772,36907060000
2024-01-25,8087,2823.826,2906.794,2821.709,2906.109,44200904500
2024-01-26,8088,2897.915,2924.307,2890.482,2910.223,42110908400
2024-01-29,8089,2910.607,2923.899,2883.333,2883.356,41058131100
2024-01-30,8090,2866.28,2881.347,2829.25,2830.527,33566122600
2024-01-31,8091,2815.504,2834.011,2782.587,2788.548,37710396500
2024-02-01,8092,2773.424,2805.015,2752.782,2770.74,35288918500
2024-02-02,8093,2773.295,2791.676,2666.334,2730.152,42623019900
2024-02-05,8094,2716.081,2739.738,2635.09,2702.185,47899029200
2024-02-06,8095,2680.485,2802.931,2669.673,2789.486,50284931300
2024-02-07,8096,2791.515,2829.696,2770.529,2829.696,54711743900
2024-02-08,8097,2832.486,2867.474,2827.902,2865.903,53110889300
2024-02-19,8098,2886.587,2910.544,2867.71,2910.544,45896770400
2024-02-20,8099,2902.877,2927.308,2887.474,2922.73,35013873500
2024-02-21,8100,2906.024,2994.615,2898.05,2950.956,44424546300
2024-02-22,8101,2945.447,2988.358,2944.499,2988.358,35413253600
2024-02-23,8102,2992.912,3009.136,2979.973,3004.881,38008327000
