date,index,open,high,low,close,volume
2024-01-02,4859,2316.435,2316.735,2292.229,2292.229,3137547700
2024-01-03,4860,2287.755,2299.683,2283.594,2294.836,2931437500
2024-01-04,4861,2293.458,2296.115,2260.354,2279.036,3212578800
2024-01-05,4862,2272.936,2295.605,2256.598,2268.538,3558937200
2024-01-08,4863,2265.242,2272.035,2240.555,2243.842,3150065600
2024-01-09,4864,2243.41,2251.541,2234.915,2245.622,3026932800
2024-01-10,4865,2239.03,2257.854,2233.181,2235.209,2571329800
2024-01-11,4866,2234.818,2251.075,2226.278,2240.106,3052442500
2024-01-12,4867,2231.286,2250.731,2229.589,2237.207,2589377800
2024-01-15,4868,2227.362,2256.8,2225.236,2238.503,2371509500
2024-01-16,4869,2231.824,2249.051,2223.437,2248.975,2878223700
2024-01-17,4870,2241.016,2242.61,2199.259,2199.259,3062829200
2024-01-18,4871,2191.889,2242.326,2163.868,2238.459,5494474100
2024-01-19,4872,2227.733,2250.611,2218.174,2243.54,3586511400
2024-01-22,4873,2237.773,2257.589,2206.764,2230.609,4478620900
2024-01-23,4874,2220.499,2239.654,2204.369,2226.371,3401531100
2024-01-24,4875,2238.332,2264.521,2209.507,2260.558,4419803300
2024-01-25,4876,2264.022,2314.496,2261.372,2312.854,6194537700
2024-01-26,4877,2303.322,2323.351,2295.962,2314.374,5831629900
2024-01-29,4878,2312.697,2327.361,2304.436,2304.436,5954904300
2024-01-30,4879,2292.221,2303.718,2270.979,2270.979,4326759800
2024-01-31,4880,2261.118,2273.095,2243.904,2254.299,4292875700
2024-02-01,4881,2245.475,2270.068,2238.713,2248.268,3989013800
2024-02-02,4882,2252.654,2264.056,2184.772,2229.014,5063711900
2024-02-05,4883,2221.945,2270.373,2203.074,2255.281,5931402200
2024-02-06,4884,2250.111,2321.448,2246.816,2318.842,5838507600
2024-02-07,4885,2323.125,2344.794,2305.514,2344.151,6478409900
2024-02-08,4886,2345.078,2355.771,2330.828,2352.578,5048620100
2024-02-19,4887,2368.448,2371.548,2348.406,2371.548,5216022500
2024-02-20,4888,2367.919,2372.863,2353.968,2369.083,3748607900
2024-02-21,4889,2359.182,2439.214,2355.402,2410.228,5000538200
2024-02-22,4890,2403.875,2433.233,2403.003,2433.082,3755541100
2024-02-23,4891,2431.866,2447.799,2424.171,2433.407,4006307200
2024-02-26,4892,2427.23,2430.973,2388.393,2393.549,4132834000
2024-02-27,4893,2383.135,2405.061,2381.571,2405.061,3360096000
2024-02-28,4894,2405.878,2417.326,2385.61,2385.61,4476390700
2024-02-29,4895,2378.138,2413.136,2378.138,2413.136,3519252800
2024-03-01,4896,2408.302,2420.378,2397.64,2414.844,3443500700
2024-03-04,4897,2412.08,2422.817,2404.922,2418.584,4029811300
2024-03-05,4898,2410.462,2450.055,2407.051,2446.417,4395609300
2024-03-06,4899,2443.851,2450.432,2433.07,2434.116,3875397500
2024-03-07,4900,2430.424,2446.295,2418.128,2426.973,3833578600
2024-03-08,4901,2423.135,2433.333,2410.148,2426.168,3491125700
2024-03-11,4902,2426.727,2443.106,2418.338,2443.106,3915214500
2024-03-12,4903,2443.232,2458.917,2436.078,2450.469,5057728500
2024-03-13,4904,2445.796,2445.796,2419.453,2427.597,3694867300
2024-03-14,4905,2431.771,2446.88,2415.062,2423.856,3688224600
2024-03-15,4906,2417.572,2430.593,2409.61,2427.197,3300750900
2024-03-18,4907,2424.922,2438.833,2419.876,2438.191,3704725200
2024-03-19,4908,2430.304,2441.605,2416.029,2416.835,3433251500
2024-03-20,4909,2412.607,2430.72,2408.484,2426.459,3083861000
2024-03-21,4910,2432.931,2441.274,2424.876,2427.101,2920841500
2024-03-22,4911,2417.937,2420.774,2386.205,2403.202,3407355500
2024-03-25,4912,2398.321,2418.315,2393.06,2401.211,3438373100
2024-03-26,4913,2404.205,2415.714,2398.601,2413.742,3136249800
2024-03-27,4914,2408.914,2421.135,2398.937,2398.937,3207291600
2024-03-28,4915,2395.217,2424.767,2387.416,2401.987,3687080000
2024-03-29,4916,2399.456,2418.563,2399.279,2414.92,3413358600
2024-04-01,4917,2422.735,2448.877,2422.735,2441.567,3621001300
2024-04-02,4918,2441.489,2447.374,2428.027,2435.757,3572642800
2024-04-03,4919,2439.432,2441.67,2423.876,2430.169,3195998600
2024-04-08,4920,2419.029,2431.405,2407.359,2414.091,3987359600
2024-04-09,4921,2411.781,2418.597,2399.283,2404.609,3562286700
2024-04-10,4922,2403.731,2412.59,2388.683,2396.743,3361270700
2024-04-11,4923,2383.703,2402.75,2380.513,2394.867,3128803600
2024-04-12,4924,2397.284,2402.643,2370.277,2374.047,3236375800
2024-04-15,4925,2367.86,2424.925,2367.763,2424.017,5013050200
2024-04-16,4926,2414.756,2429.386,2398.432,2412.322,4695248200
2024-04-17,4927,2407.964,2440.578,2397.439,2439.856,4594460200
2024-04-18,4928,2430.703,2468.357,2429.626,2445.205,4662446200
2024-04-19,4929,2433.978,2444.02,2424.172,2430.582,3888469000
2024-04-22,4930,2433.181,2450.256,2422.767,2424.747,4036806100
2024-04-23,4931,2420.623,2426.886,2409.95,2413.739,3793205500
2024-04-24,4932,2422.627,2426.958,2406.881,2424.119,2938685900
2024-04-25,4933,2419.5,2437.312,2411.571,2431.622,2831781800
2024-04-26,4934,2432.758,2467.274,2432.758,2461.856,4783802900
2024-04-29,4935,2458.178,2492.927,2453.478,2474.34,5340119700
2024-04-30,4936,2473.514,2484.101,2464.244,2464.244,4681437000
2024-05-06,4937,2495.467,2505.597,2487.322,2495.762,5600781100
2024-05-07,4938,2496.015,2504.034,2489.367,2499.771,3804263100
2024-05-08,4939,2495.624,2497.15,2484.383,2486.019,3230611100
2024-05-09,4940,2483.66,2506.279,2483.66,2501.731,3766211100
2024-05-10,4941,2508.061,2515.024,2492.362,2508.575,4052864200
2024-05-13,4942,2499.69,2512.242,2487.654,2506.459,4103674800
2024-05-14,4943,2507.198,2510.424,2491.248,2496.736,3388568700
2024-05-15,4944,2494.764,2498.953,2475.959,2477.39,2945728800
2024-05-16,4945,2484.272,2498.89,2475.838,2489.414,3919933900
2024-05-17,4946,2492.571,2524.179,2485.819,2524.171,4421856300
2024-05-20,4947,2529.916,2544.525,2524.194,2532.824,4669198500
2024-05-21,4948,2526.937,2531.633,2518.27,2525.233,3311864500
2024-05-22,4949,2524.694,2535.064,2519.026,2529.04,3807604800
2024-05-23,4950,2518.144,2519.071,2495.161,2500.821,3504800300
2024-05-24,4951,2494.368,2504.413,2473.231,2474.425,3129424200
2024-05-27,4952,2478.259,2500.115,2478.259,2497.601,3577089700
