date,index,open,high,low,close,volume,amount,outstanding_share,turnover
2024-06-03,899,21.25,21.58,21.01,21.28,5744543.0,122648541.0,671364120.0,0.008556523693878666
2024-06-04,900,21.19,21.28,20.75,21.16,5236211.0,110011868.0,671364120.0,0.007799360799918828
2024-06-05,901,21.16,22.59,21.03,21.74,12015233.0,264219631.0,671364120.0,0.017896745807625226
2024-06-06,902,23.06,23.91,23.06,23.91,11069538.0,264413769.0,671364120.0,0.016488128677475348
2024-06-07,903,23.93,24.11,22.32,22.62,34873215.0,808210201.0,671364120.0,0.05194381701542227
2024-06-11,904,22.38,24.88,22.33,24.88,36179894.0,853768349.0,671364120.0,0.05389012150366332
2024-06-12,905,24.82,26.24,24.53,25.18,49400671.0,1257339017.0,671364120.0,0.07358253074352558
2024-06-13,906,25.18,25.45,24.54,24.54,32205668.0,806639927.0,671364120.0,0.04797049326973268
2024-06-14,907,24.13,24.52,23.76,24.15,22651462.0,546747067.0,671364120.0,0.033739458700890956
2024-06-17,908,24.26,25.15,24.08,25.02,27908549.0,690972130.0,671364120.0,0.04156991440054914
2024-06-18,909,24.93,26.11,24.26,25.96,38956117.0,987452858.0,671364120.0,0.05802531866016313
2024-06-19,910,25.83,25.83,25.06,25.41,25712418.0,656723527.0,671364120.0,0.03829876699398234
2024-06-20,911,25.23,26.52,25.19,25.26,31170980.0,808633496.0,671364120.0,0.046429320649426425
2024-06-21,912,24.83,24.84,23.96,24.52,19482312.0,477652192.0,671364120.0,0.02901899493824603
2024-06-24,913,24.13,24.7,23.49,23.57,15843206.0,381169757.0,671364120.0,0.023598529513313878
2024-06-25,914,23.43,23.8,22.19,22.42,17989809.0,411165246.0,671364120.0,0.026795904731995508
2024-06-26,915,22.57,23.14,22.09,23.03,13763575.0,312524915.0,671364120.0,0.02050090940218849
2024-06-27,916,22.86,23.18,22.5,22.84,12938628.0,295873521.0,671364120.0,0.019272146983368727
2024-06-28,917,22.7,23.22,22.62,23.07,12722739.0,293936652.0,671365812.0,0.01895053154717387
2024-07-01,918,22.93,23.11,22.01,22.5,10195870.0,229859518.0,671365812.0,0.015186757826744982
2024-07-02,919,22.57,22.58,21.8,21.9,9145640.0,202948847.0,671365812.0,0.013622439267133846
2024-07-03,920,21.93,24.09,21.42,23.25,24476318.0,561412168.0,671365812.0,0.03645749837496938
2024-07-04,921,23.31,23.47,22.45,22.56,11711116.0,268427170.0,671365812.0,0.017443718149889945
2024-07-05,922,22.48,22.77,22.15,22.54,8964464.0,201784204.0,671365812.0,0.013352577447002916
2024-07-08,923,22.63,23.53,22.52,22.57,12812794.0,295567633.0,671365812.0,0.01908466855324471
2024-07-09,924,22.31,23.49,22.19,23.44,15695101.0,364284732.0,671365812.0,0.02337786750451928
2024-07-10,925,22.99,23.23,22.79,22.93,13222509.0,304701391.0,671365812.0,0.019694939425959332
2024-07-11,926,23.23,23.57,22.94,23.46,13148114.0,307678221.0,671365812.0,0.019584128004420935
2024-07-12,927,23.23,23.99,23.14,23.9,13222710.0,313085940.0,671365812.0,0.019695238815645857
2024-07-15,928,23.8,24.53,23.7,24.19,13975318.0,339160168.0,671365812.0,0.02081624913006443
2024-07-16,929,23.94,24.33,23.46,24.21,12217035.0,293362217.0,671365812.0,0.018197284969881666
2024-07-17,930,23.94,24.28,23.3,23.31,11083264.0,264318695.0,671365812.0,0.016508532013244665
2024-07-18,931,22.89,23.52,22.44,23.3,11820072.0,271968045.0,671365812.0,0.017606008213000873
2024-07-19,932,23.33,24.48,23.23,24.21,17031960.0,411322265.0,671365812.0,0.0253691202256215
2024-07-22,933,24.14,24.61,24.03,24.14,12254877.0,298375521.0,671365812.0,0.01825365066399896
2024-07-23,934,24.06,24.14,22.9,22.91,11078544.0,260550598.0,671365812.0,0.016501501568864516
2024-07-24,935,22.85,23.22,22.36,22.39,9782676.0,223264866.0,671365812.0,0.014571304980301857
2024-07-25,936,22.1,22.71,22.03,22.34,6383684.0,142701789.0,671365812.0,0.009508503242044742
2024-07-26,937,22.35,22.69,22.16,22.6,5730707.0,129312733.0,671365812.0,0.008535893394583518
2024-07-29,938,22.69,22.78,22.12,22.14,5947428.0,133712261.0,671365812.0,0.008858699525200131
2024-07-30,939,21.99,22.72,21.65,22.69,8392560.0,187660407.0,671365812.0,0.01250072590827726
2024-07-31,940,22.55,23.54,22.24,23.46,11109214.0,257271514.0,671365812.0,0.01654718456232621
2024-08-01,941,23.46,24.68,23.43,24.07,18213518.0,440073628.0,671365812.0,0.02712905196310473
2024-08-02,942,23.72,24.33,23.48,23.58,10809352.0,258501465.0,671365812.0,0.016100539835054932
2024-08-05,943,23.22,23.6,22.37,22.37,11114872.0,255915701.0,671365812.0,0.01655561215857682
2024-08-06,944,22.84,22.96,22.19,22.49,6575984.0,147884606.0,671365812.0,0.009794934270498719
2024-08-07,945,22.49,22.54,22.19,22.23,4827744.0,108118208.0,671365812.0,0.0071909291681358355
2024-08-08,946,22.08,22.59,21.69,22.11,8680244.0,192728822.0,671365812.0,0.01292923149324738
2024-08-09,947,22.52,22.68,21.79,21.79,7589460.0,168823981.0,671365812.0,0.011304507713002222
2024-08-12,948,21.7,21.7,20.92,21.05,7766468.0,165401320.0,671365812.0,0.011568161293265258
2024-08-13,949,21.05,21.3,20.59,20.99,6753604.0,141418303.0,671365812.0,0.01005949942532969
2024-08-14,950,21.0,21.12,20.4,20.41,6316020.0,130841784.0,671365812.0,0.009407717651252697
2024-08-15,951,20.36,20.78,20.18,20.43,6863230.0,140934121.0,671365812.0,0.010222787454062377
2024-08-16,952,20.49,20.57,19.84,19.87,8079924.0,163110464.0,671365812.0,0.012035054296151738
2024-08-19,953,19.88,20.19,19.71,19.89,5080692.0,101695565.0,671365812.0,0.007567695448871025
2024-08-20,954,20.12,20.12,19.27,19.32,6116157.0,119841460.0,671365812.0,0.009110021527280273
2024-08-21,955,19.23,19.4,18.54,18.63,8610778.0,162955797.0,671365812.0,0.012825761821783084
2024-08-22,956,18.62,18.73,18.34,18.36,5255256.0,97406835.0,671365812.0,0.007827708688866033
2024-08-23,957,18.35,18.62,18.23,18.6,4796504.0,88745277.0,671365812.0,0.007144397159145184
2024-08-26,958,18.56,18.97,18.56,18.63,4352956.0,81769820.0,671365812.0,0.006483732001533614
2024-08-27,959,18.7,18.7,18.05,18.09,4742328.0,86994852.0,671365812.0,0.007063701956869975
2024-08-28,960,18.06,18.32,17.81,18.18,4052984.0,73553684.0,671365812.0,0.006036923429160256
2024-08-29,961,18.09,19.38,17.95,19.2,9286611.0,176195398.0,671365812.0,0.013832415702454625
2024-08-30,962,19.15,19.92,19.11,19.62,8688707.0,171160404.0,671365812.0,0.012941837139601026
2024-09-02,963,19.62,19.79,19.17,19.17,6043180.0,117740031.0,671365812.0,0.009001322218057776
2024-09-03,964,19.17,19.54,19.14,19.35,4285180.0,83213562.0,671365812.0,0.006382779586637635
2024-09-04,965,19.16,19.59,19.13,19.39,4337300.0,84543047.0,671365812.0,0.00646041237500488
2024-09-05,966,19.42,19.78,19.39,19.59,3939304.0,77462169.0,671365812.0,0.005867596963665466
2024-09-06,967,19.73,19.73,18.99,19.03,4345192.0,83794402.0,671365812.0,0.006472167516328639
2024-09-09,968,18.91,19.18,18.81,18.95,3929704.0,74691261.0,671365812.0,0.005853297754756687
2024-09-10,969,19.05,19.26,18.45,19.03,5645428.0,106467778.0,671365812.0,0.008408870244944792
2024-09-11,970,19.01,19.07,18.77,18.89,3135316.0,59455237.0,671365812.0,0.004670056091566366
2024-09-12,971,19.18,19.27,18.72,18.73,3430392.0,65126639.0,671365812.0,0.005109572067396247
2024-09-13,972,18.73,18.83,18.29,18.29,3354656.0,62100219.0,671365812.0,0.004996763225113405
2024-09-18,973,18.39,18.54,17.81,18.16,3409121.0,61815772.0,671365812.0,0.0050778888931568055
2024-09-19,974,18.34,18.95,18.12,18.62,5427867.0,100793324.0,671365812.0,0.008084812933548662
2024-09-20,975,18.57,18.75,18.19,18.26,3717475.0,68575790.0,671365840.9999999,0.005537182223127138
2024-09-23,976,18.28,18.68,18.1,18.39,4087315.0,75404181.0,671365840.9999999,0.006088059222542424
2024-09-24,977,18.53,19.35,18.38,19.35,10247449.0,194035087.0,671365840.9999999,0.015263584135791625
2024-09-25,978,19.74,20.16,19.49,19.51,9839797.0,195595488.0,671365840.9999999,0.0146563861297197
2024-09-26,979,19.49,20.49,19.44,20.48,10030654.0,201134685.0,671365840.9999999,0.014940667796054881
