date,index,open,high,low,close,volume,amount,outstanding_share,turnover
2024-06-03,2783,114.66,122.28,113.47,119.89,28507597.0,4731275316.0,801643537.0000001,0.03556143807593623
2024-06-04,2784,121.06,124.62,120.64,123.2,20440158.0,3530988623.0,801643537.0000001,0.02549781424857916
2024-06-05,2785,122.56,123.56,118.9,118.9,14107165.0,2396263070.0,801643537.0000001,0.01759780294966689
2024-06-06,2786,122.54,129.12,122.54,124.64,40541005.0,5135755310.0,1115714558.0,0.036336359250051124
2024-06-07,2787,123.33,125.16,118.25,118.77,31591658.0,3833371067.0,1115714558.0,0.028315179517447865
2024-06-11,2788,118.25,120.91,116.66,118.27,19973543.0,2379405438.0,1115714558.0,0.017902018806498356
2024-06-12,2789,118.26,120.58,116.29,118.47,16624956.0,1985567479.0,1115714558.0,0.014900725172755163
2024-06-13,2790,120.12,125.65,118.94,122.93,30630949.0,3771612455.0,1115714558.0,0.027454108920930653
2024-06-14,2791,124.24,139.61,123.31,137.44,58687383.0,7839639212.0,1115714558.0,0.052600714563769274
2024-06-17,2792,140.13,144.04,139.63,141.63,37826641.0,5391099007.0,1115714558.0,0.03390351118820841
2024-06-18,2793,141.7,150.55,141.7,146.0,34457834.0,5098018676.0,1115714558.0,0.030884094639553855
2024-06-19,2794,148.82,149.31,143.31,145.1,24641347.0,3612996769.0,1115714558.0,0.022085708950657968
2024-06-20,2795,145.1,148.04,143.76,143.8,20839844.0,3048856054.0,1115714558.0,0.018678472778339422
2024-06-21,2796,139.63,144.9,139.14,142.11,23695838.0,3370036605.0,1115714558.0,0.021238261910355032
2024-06-24,2797,144.3,145.58,138.69,139.34,20461306.0,2921350284.0,1115714558.0,0.018339194243981533
2024-06-25,2798,134.16,136.75,132.72,134.06,26448922.0,3578138739.0,1115714558.0,0.02370581418908043
2024-06-26,2799,137.14,139.9,136.75,139.13,26628316.0,3707870889.0,1115714558.0,0.02386660262615306
2024-06-27,2800,137.12,139.13,134.96,135.3,17307415.0,2379118680.0,1115714558.0,0.015512404024757738
2024-06-28,2801,135.16,140.96,134.91,137.03,22826311.0,3172321954.0,1115714558.0,0.020458916517964804
2024-07-01,2802,136.5,145.42,136.16,144.0,29649324.0,4223116021.0,1115714558.0,0.02657429159403332
2024-07-02,2803,144.08,146.75,141.82,144.71,22876893.0,3316855737.0,1115714558.0,0.02050425248641418
2024-07-03,2804,143.11,143.56,139.23,142.61,15117526.0,2158450976.0,1115714558.0,0.013549635873802052
2024-07-04,2805,144.9,146.44,142.12,142.12,17276664.0,2504152997.0,1115714558.0,0.015484842315735025
2024-07-05,2806,142.71,143.39,137.85,140.62,18038676.0,2543120860.0,1115714558.0,0.01616782345507407
2024-07-08,2807,145.18,146.09,141.51,143.5,20380790.0,2949013372.0,1115714558.0,0.01826702883265596
2024-07-09,2808,143.0,155.03,141.53,153.37,31006787.0,4642266377.0,1115714558.0,0.027790967481487322
2024-07-10,2809,153.05,156.99,151.63,156.55,23634459.0,3673033725.0,1115714558.0,0.02118324873556055
