date,open,high,low,close,volume,amount,turnover
2024-06-03,4.1,4.11,3.97,4.0,23647190.0,96122544.0,0.043307835057530025
2024-06-04,3.98,4.07,3.97,4.05,17549660.0,71212317.0,0.032140722876406555
2024-06-05,4.04,4.04,3.97,3.97,16054200.0,64858151.0,0.029401913951746423
2024-06-06,3.98,4.0,3.76,3.76,32086875.0,124542516.0,0.05876440668052245
2024-06-07,3.8,3.84,3.78,3.81,15918822.0,61246675.0,0.02915398055693637
2024-06-11,3.81,3.83,3.76,3.82,14364089.0,55113554.0,0.02630661812941332
2024-06-12,3.81,3.85,3.8,3.83,13669316.0,52896491.0,0.025034199948376787
2024-06-13,3.83,3.89,3.83,3.89,19222575.0,75092885.0,0.035204525674340174
2024-06-14,3.94,4.09,3.89,4.0,40991630.0,165664737.0,0.0750727148037166
2024-06-17,3.93,3.95,3.9,3.91,21084175.0,83535205.0,0.03861388914387283
2024-06-18,3.9,3.94,3.89,3.92,15421682.0,61028087.0,0.028243510555194074
2024-06-19,3.91,3.91,3.8,3.8,21330131.0,82645046.0,0.039064336824100786
2024-06-20,3.79,3.82,3.68,3.68,20857650.0,78688504.0,0.03819902770213675
2024-06-21,3.66,3.74,3.66,3.69,12066719.0,45194878.0,0.022099178639726904
2024-06-24,3.69,3.69,3.46,3.49,27344693.0,97309455.0,0.05007950010731913
2024-06-25,3.48,3.52,3.38,3.38,21197302.0,73378295.0,0.03882107170791334
2024-06-26,3.3,3.46,3.21,3.44,46794437.0,158059703.0,0.08028457271366357
2024-06-27,3.41,3.43,3.31,3.32,27558257.0,93577851.0,0.0472813229482455
2024-06-28,3.31,3.37,3.28,3.3,20742737.0,69827596.0,0.03558802891371254
2024-07-01,3.32,3.38,3.26,3.38,21631081.0,72455025.0,0.037112148510722476
2024-07-02,3.42,3.47,3.34,3.45,27894563.0,95221746.0,0.047858318532379596
2024-07-03,3.4,3.51,3.36,3.43,33916378.0,117186757.0,0.058189863802081854
2024-07-04,3.37,3.5,3.35,3.36,34270254.0,118181407.0,0.058797003993844826
2024-07-05,3.3,3.39,3.23,3.37,23385700.0,78575569.0,0.040122524224619316
2024-07-08,3.37,3.38,3.22,3.24,19396372.0,64472098.0,0.03327808897915084
2024-07-09,3.23,3.27,3.13,3.25,24152211.0,78119703.0,0.04143761661723263
2024-07-10,3.23,3.27,3.2,3.2,13580403.0,44296126.0,0.023299710863801074
2024-07-11,3.27,3.36,3.26,3.33,26798313.0,89644282.0,0.04597749746731681
2024-07-12,3.32,3.35,3.3,3.31,12712692.0,42626495.0,0.021810991021441486
2024-07-15,3.3,3.32,3.28,3.29,12088459.0,40206221.0,0.020740003038857823
2024-07-16,3.29,3.29,3.24,3.25,12033753.0,39611403.0,0.020646144706191617
2024-07-17,3.28,3.3,3.24,3.24,11516827.0,37561316.0,0.019759261869358186
2024-07-18,3.23,3.26,3.17,3.25,15071319.0,48523313.0,0.02585765496326667
2024-07-19,3.25,3.3,3.23,3.27,12096288.0,39502536.0,0.020753435146605485
2024-07-22,3.29,3.31,3.26,3.28,11528853.0,37822742.0,0.019779894712348787
2024-07-23,3.28,3.31,3.19,3.2,16666633.0,54159401.0,0.028594713277145422
2024-07-24,3.18,3.22,3.12,3.15,16576545.0,52539209.0,0.02844015053314599
2024-07-25,3.13,3.21,3.12,3.18,13211107.0,41935115.0,0.022666114789873203
2024-07-26,3.18,3.23,3.18,3.22,12239026.0,39344431.0,0.0209983287723158
2024-07-29,3.22,3.23,3.18,3.22,11608664.0,37219810.0,0.01991682534863041
2024-07-30,3.21,3.26,3.19,3.26,12296753.0,39768680.0,0.02109737019318046
2024-07-31,3.24,3.38,3.24,3.37,22865889.0,76073828.0,0.039230691632919104
2024-08-01,3.36,3.38,3.33,3.35,14596689.0,48934250.0,0.02504333879258411
2024-08-02,3.33,3.38,3.31,3.31,13677687.0,45742413.0,0.023466619686144125
2024-08-05,3.3,3.37,3.25,3.26,18694275.0,61955954.0,0.03207351080143828
2024-08-06,3.28,3.32,3.27,3.31,13712065.0,45185425.0,0.02352560154846999
2024-08-07,3.32,3.32,3.27,3.28,10349663.0,34054615.0,0.017756774628689593
2024-08-08,3.27,3.3,3.23,3.29,12962958.0,42386131.0,0.022240368959566006
2024-08-09,3.29,3.32,3.23,3.23,11866296.0,38882121.0,0.02035884103176314
2024-08-12,3.24,3.25,3.17,3.18,9651700.0,30895649.0,0.016559289097985444
2024-08-13,3.18,3.22,3.15,3.22,8787999.0,28048088.0,0.01507744915753774
2024-08-14,3.21,3.24,3.19,3.19,7090193.0,22751525.0,0.0121645467272618
2024-08-15,3.19,3.24,3.17,3.23,11855644.0,38113228.0,0.02034056554169696
2024-08-16,3.22,3.23,3.16,3.16,12294733.0,39237166.0,0.02109390450693058
2024-08-19,3.15,3.19,3.15,3.16,8976236.0,28394508.0,0.015400404792497123
2024-08-20,3.15,3.16,3.08,3.1,12300369.0,38313668.0,0.02110357411470499
2024-08-21,3.09,3.13,3.09,3.11,7551930.0,23498974.0,0.01295674255496433
2024-08-22,3.11,3.12,3.02,3.04,12134080.0,37244176.0,0.020818274361830893
2024-08-23,3.04,3.06,3.01,3.03,9520038.0,28847389.0,0.01633339841331653
2024-08-26,3.01,3.09,3.0,3.06,11140142.0,33968851.0,0.019112988589638072
2024-08-27,3.06,3.07,2.95,2.98,15909068.0,47519591.0,0.027294969413834778
2024-08-28,2.96,3.0,2.91,2.98,11606126.0,34375504.0,0.019912470936896652
2024-08-29,2.97,3.05,2.95,3.03,11027143.0,33214087.0,0.018919117757682742
2024-08-30,3.03,3.12,3.01,3.07,17085918.0,52533296.0,0.029314074791640155
2024-09-02,3.07,3.09,2.98,2.99,12343600.0,37437898.0,0.021177744947511127
2024-09-03,2.99,3.03,2.97,3.01,8720728.0,26185816.0,0.014962033226985548
2024-09-04,3.0,3.03,2.98,2.99,9705503.0,29151240.0,0.016651598165956776
2024-09-05,2.99,3.03,2.99,3.02,9276727.0,27903345.0,0.015915953073146413
2024-09-06,3.0,3.03,2.95,2.95,9791300.0,29189790.0,0.016798798900204616
2024-09-09,2.94,3.49,2.92,3.2,66899698.0,214169063.0,0.11477889281162061
2024-09-10,3.18,3.26,3.11,3.15,48557358.0,153751604.0,0.08330919205491015
2024-09-11,3.12,3.15,3.09,3.12,23533534.0,73394039.0,0.040376160987522385
2024-09-12,3.13,3.39,3.11,3.22,55368030.0,180046657.0,0.0949941684424434
2024-09-13,3.19,3.36,3.15,3.31,63284217.0,207705104.0,0.10857586172825981
2024-09-18,3.25,3.39,3.16,3.27,45621285.0,148862032.0,0.07827181194365623
2024-09-19,3.27,3.49,3.23,3.41,78579380.0,268489485.0,0.13481756276722812
2024-09-20,3.35,3.4,3.31,3.36,53481171.0,178728316.0,0.09175691037721805
2024-09-23,3.3,3.34,3.25,3.26,35136997.0,115151822.0,0.060284063051902495
2024-09-24,3.27,3.35,3.21,3.34,47893592.0,157910058.0,0.0821703778473184
2024-09-25,3.34,3.45,3.33,3.37,52268791.0,177520223.0,0.08967684666651261
2024-09-26,3.35,3.43,3.32,3.42,48930722.0,165388649.0,0.08394976754055312
2024-09-27,3.47,3.73,3.47,3.63,81919029.0,293440658.0,0.14054735267748206
2024-09-30,3.82,4.22,3.72,4.19,128002038.0,510542167.0,0.2196113381449194
2024-10-08,4.98,4.98,4.34,4.67,152183276.0,700916366.0,0.26109875598728827
2024-10-09,4.5,4.6,4.03,4.04,97921574.0,423573084.0,0.16800269929605924
2024-10-10,4.05,4.22,3.97,4.03,59703370.0,244152007.0,0.10243225172290801
2024-10-11,4.0,4.04,3.74,3.79,48528507.0,187707208.0,0.0832596927905561
2024-10-14,3.82,3.97,3.76,3.94,42065542.0,162932037.0,0.0721712725262336
2024-10-15,3.89,3.95,3.81,3.81,41557412.0,161093840.0,0.07129948086576349
2024-10-16,3.8,4.13,3.79,4.1,91953529.0,369839693.0,0.15776340647668166
2024-10-17,4.16,4.16,3.92,3.93,62886210.0,251411138.0,0.10789300658605461
2024-10-18,3.9,4.09,3.84,4.0,57839481.0,229054964.0,0.09923440297112802
2024-10-21,4.0,4.08,3.97,4.01,53068687.0,213083377.0,0.0910492172449933
2024-10-22,3.99,4.01,3.95,3.99,40046397.0,159269779.0,0.06870705318811163
2024-10-23,3.99,4.07,3.98,4.02,46545097.0,187874992.0,0.07985678350101796
2024-10-24,3.96,3.97,3.83,3.86,49629352.0,192063741.0,0.08514839743399423
2024-10-25,3.87,4.02,3.86,4.0,53200956.0,210773128.0,0.09127614935122345
2024-10-28,4.03,4.19,4.02,4.14,53598535.0,220261873.0,0.09195827017970837
2024-10-29,4.15,4.17,3.95,3.95,48656269.0,195801755.0,0.083478892298802
