标的,变体,窗口,收益%,回撤%,Sharpe,Calmar,交易数
中际旭创,F0 现配置(A|B1|B2|B3|C),25-01~26-09,652.651023645763,-26.544499007871714,2.4942010049295544,9.180494005707514,27
中际旭创,F0 现配置(A|B1|B2|B3|C),2026,49.04157948340486,-26.54080339359203,1.4377888893314332,3.0636032430028686,15
中际旭创,F1 砍掉B3(A|B1|B2|C),25-01~26-09,652.651023645763,-26.544499007871714,2.4942010049295544,9.180494005707514,27
中际旭创,F1 砍掉B3(A|B1|B2|C),2026,49.04157948340486,-26.54080339359203,1.4377888893314332,3.0636032430028686,15
中际旭创,F2 只留B1+B2,25-01~26-09,643.8216152485189,-26.54536360796076,2.483121617432006,9.087080971926307,26
中际旭创,F2 只留B1+B2,2026,47.8100016683449,-26.53946060829192,1.412295040015699,2.979751204530371,14
中际旭创,F3 现配置+两融gate,25-01~26-09,732.4713239451149,-23.4326666469597,2.6823910167785088,11.33238163000809,14
中际旭创,F3 现配置+两融gate,2026,53.95811425333372,-23.430052724211514,1.6587603544037317,3.8540573407203333,8
中际旭创,F4 B1+B2+两融gate,25-01~26-09,732.4713239451149,-23.4326666469597,2.6823910167785088,11.33238163000809,14
中际旭创,F4 B1+B2+两融gate,2026,53.95811425333372,-23.430052724211514,1.6587603544037317,3.8540573407203333,8
天孚通信,F0 现配置(A|B1|B2|B3|C),25-01~26-09,137.8825456311818,-46.94080731902418,1.0952868448039526,1.4891842479854425,42
天孚通信,F0 现配置(A|B1|B2|B3|C),2026,29.11746458721758,-31.66719886434469,0.8517877540988502,1.464720505948818,23
天孚通信,F1 砍掉B3(A|B1|B2|C),25-01~26-09,137.8825456311818,-46.94080731902418,1.0952868448039526,1.4891842479854425,42
天孚通信,F1 砍掉B3(A|B1|B2|C),2026,29.11746458721758,-31.66719886434469,0.8517877540988502,1.464720505948818,23
天孚通信,F2 只留B1+B2,25-01~26-09,200.3473811323957,-44.61649010808111,1.3179004968111077,2.1504853556152757,37
天孚通信,F2 只留B1+B2,2026,56.56693920989551,-25.863354086050748,1.265505923742046,3.6781414500236087,19
天孚通信,F3 现配置+两融gate,25-01~26-09,144.37466228467818,-46.940809791964256,1.1339530413716474,1.5492877058781676,30
天孚通信,F3 现配置+两融gate,2026,38.19942113146739,-31.18112165650312,1.0053268806317037,1.9883494072764059,16
天孚通信,F4 B1+B2+两融gate,25-01~26-09,203.66161049854728,-44.61673732682294,1.3483592313511514,2.1800519489023045,25
天孚通信,F4 B1+B2+两融gate,2026,64.93008359685251,-25.863354086050748,1.4023957313741255,4.2868790331222115,12
北方华创,F0 现配置(A|B1|B2|B3|C),25-01~26-09,40.85512946220049,-23.468416638753244,0.7026712350607238,0.9932325699895804,20
北方华创,F0 现配置(A|B1|B2|B3|C),2026,22.661703661313126,-23.463432785205917,0.8758235214150456,1.5174733309826152,14
北方华创,F1 砍掉B3(A|B1|B2|C),25-01~26-09,40.85512946220049,-23.468416638753244,0.7026712350607238,0.9932325699895804,20
北方华创,F1 砍掉B3(A|B1|B2|C),2026,22.661703661313126,-23.463432785205917,0.8758235214150456,1.5174733309826152,14
北方华创,F2 只留B1+B2,25-01~26-09,30.220704745009197,-24.94943146832499,0.5726135403111068,0.7025709659154648,14
北方华创,F2 只留B1+B2,2026,18.69509811029866,-24.953138243468153,0.7637361138065907,1.1669280560291029,11
北方华创,F3 现配置+两融gate,25-01~26-09,24.56402231012216,-30.746692892044447,0.5000498976038079,0.4676656138647381,15
北方华创,F3 现配置+两融gate,2026,11.076535156165445,-30.740831017311265,0.5382094804887322,0.5516320847432156,9
