变量,高组%,低组%,差异pp,p值,2025,2026,Spearman,同向,类别
SOX/纳指_相对强弱20日,1.1165799289770129,-0.6727239192565244,1.7893038482335373,0.007333333333333333,1.79935483719973,1.865557105413814,0.12569814217451797,是,跨资产
mkt_amt_ratio,1.0785455701760696,-0.6381472294374854,1.716692799613555,0.008,2.123711084071974,2.827119549250167,0.23335130446378108,是,A股本土
mkt_ret20,0.9962090025118264,-0.5632958042881732,1.5595048067999997,0.018,1.3517215834092777,1.865557105413814,0.1337394913999045,是,A股本土
费城半导体_20日变化%,0.9849618259743119,-0.5530710983449783,1.5380329243192903,0.022,1.3142309949508966,1.865557105413814,0.1270517158987115,是,跨资产
纳斯达克_20日变化%,0.9279200246537168,-0.5012149153262556,1.4291349399799724,0.027,1.3142309949508966,0.8979980807698804,0.07562392369133417,是,跨资产
mkt_margin_chg20,0.8568911067316216,-0.4366431717607142,1.2935342784923358,0.041666666666666664,0.887328597475262,1.865557105413814,0.08188720565772088,是,A股本土
美元指数_20日变化%,0.7786064030566899,-0.36547525932895764,1.1440816623856476,0.059333333333333335,0.1822898979669366,1.9153397204605693,0.12279877123867143,是,跨资产
mkt_vol20,0.48267134053530936,-0.09644338430952139,0.5791147248448307,0.22233333333333333,-0.290046745225978,0.003954153903635321,0.015826400467493784,否,A股本土
美债10Y_水平,0.3895382825290448,-0.011776967940189923,0.4013152504692347,0.3,-0.17402263654964736,-0.4161019108839459,0.021681207523029187,是,跨资产
黄金/原油比_20日变化%,0.20397306458345016,0.1569186847376235,0.047054379845826666,0.4866666666666667,-2.1194206063674716,2.986537340934733,-0.04797577874508491,否,跨资产
WTI原油_20日变化%,0.061037377834502096,0.28686021814575813,-0.22582284031125605,0.6013333333333334,0.27790109494530685,-3.2611962061281,-0.05836385637987208,否,跨资产
铜_20日变化%,-0.03414801744582244,0.3733923956733259,-0.40754041311914835,0.707,-0.004674085764053454,-1.7490017944782899,-0.05348618538558881,是,跨资产
恒生指数_20日变化%,-0.1900785503543605,0.5151474255901786,-0.7052259759445391,0.8286666666666667,0.8833617239291505,-2.2965047543346424,-0.08908757712547236,否,跨资产
黄金_20日变化%,-0.36239713838159276,0.6718006874331169,-1.0341978258147098,0.9133333333333333,-1.5736901590175132,-2.4019182337273626,-0.12923024875658515,是,跨资产
美债10Y_20日变化bp,-0.46475593983323554,0.9092976997263984,-1.3740536395596339,0.96,-0.9819790636201859,-2.1942202828990274,-0.10898755397326564,是,跨资产
VIX_水平,-0.6570610003584803,0.9396769255939237,-1.596737925952404,0.9826666666666667,-1.2789693280274812,1.2084189689196516,-0.10665860073946627,否,跨资产
VIX_20日变化%,-0.6999835355563495,0.9786974121374412,-1.6786809476937907,0.9883333333333333,-1.500937903635716,0.14144304569057817,-0.07093847618451035,否,跨资产
