标的,ATR k=0.4 追踪1.5xATR,ATR k=0.6 无追踪,ATR k=0.6 追踪2.0xATR,ATR k=1.0 追踪2.0xATR,FIX 买带5/卖带5,FIX 买带5/卖带5+追踪18%,买入持有,满仓+2.5xATR追踪,满仓+25%追踪(无趋势过滤)
中际旭创,0.49413392306023957,0.6638470913024972,0.6577562955769499,0.9249736437053887,0.8507166695365452,0.8507166695365452,1.0,1.2085134857754058,1.0293016359870757
兆易创新,0.6937717919562141,0.6780592944141478,0.7481326534130849,0.6554368190316368,0.7036885870253381,0.7941542021612712,1.0,0.7084744115168293,1.0235432577277703
光迅科技,0.2328721597745554,0.37501307960584146,0.32788819663317353,0.6444567760017564,0.3898528578232702,0.3212189985619429,1.0,1.19636531413147,1.201236861191547
北京君正,-0.19388220812507792,0.01948281634613439,-0.23863831933020238,-0.1444457967446234,0.5061380308335887,0.5061380308335887,1.0,0.5867552344688134,0.800794978428025
北方华创,0.26851829951897255,0.2000042970515075,0.1521481443518846,0.24906059788288373,0.1956839963403576,0.2266695946854558,1.0,0.3798717765115312,1.0064259783987477
国际复材,0.5248591345262287,0.7527654926248977,0.8725310221153069,0.6743181635246718,1.2278492649433246,1.2365952740475488,1.0,1.018358126309378,0.8716995729081521
天孚通信,0.18960597008476748,0.33777802305272736,0.2803507650946306,0.18150388864912012,0.33777802305272736,0.32037823541922017,1.0,0.8207093449024939,1.1301118339822716
寒武纪,0.16308137452354868,0.19075012614444814,0.15608700411516296,0.166678026853856,0.19197457284803582,0.18455339759320882,1.0,1.1156991333437818,1.0428183627600658
工业富联,0.41594589396478426,0.7409012192659733,0.5472682264067347,0.41055934880776457,0.6342614807390451,0.6342614807390451,1.0,0.5242487795091629,1.3211510005022553
新易盛,0.22428144058268565,0.31426803947190113,0.30725928598106034,0.2549038484324334,0.258993465832949,0.23622665558282255,1.0,0.9386782149443536,0.9858435678752354
沪电股份,-0.08533092177304001,0.19201051455491533,0.1676875600845048,0.27634211357579985,0.2239471089043133,0.2239471089043133,1.0,0.9410540238520935,0.6658618012842743
海光信息,0.3479688988241217,0.578059511533657,0.5251548231459933,0.33159230189745126,0.441829860762071,0.441829860762071,1.0,0.7036254550647939,0.8993980748008127
深南电路,0.0021234470429255374,0.1714077070453472,0.22303707285947189,0.20711806696473392,0.27834740946828695,0.27834740946828695,1.0,0.8333424168347109,1.0638574236404619
澜起科技,0.039638846988207986,0.16769097439078695,0.13369167734946327,0.006347346721436835,0.11787585309199788,0.12163729480950795,1.0,1.1903103665569603,1.006170452874467
生益科技,0.27384384736546785,0.40190918365827133,0.4417108097074504,0.4586121600096354,0.6516330346246466,0.6516330346246466,1.0,0.9947962082961993,1.1227733928163524
立昂微,0.23027529544343475,0.823313135751452,0.29224817182599405,0.3634488724915689,0.5799860026820217,0.5799860026820217,1.0,0.717300033273673,1.1910939106023088
胜宏科技,0.06870466291431503,0.15732447773464334,0.16287337996174983,0.1566663587629282,0.19369404605276955,0.19369404605276955,1.0,0.8830881059386385,1.2702783152307418
通富微电,0.24245543411235965,0.15370969479349064,-0.03260095308900915,-0.0363798300313244,0.20906760279064127,0.11069723289232747,1.0,0.6279029362104471,1.0108113420340028
长电科技,0.40190466899729643,0.3731422479990204,0.37378808270092656,0.43975501044902265,0.41294527769293077,0.4536171768000107,1.0,0.7977005645872678,0.7496579724009519
韦尔股份,0.7991456177531978,0.9681995818649936,0.9036673224079781,0.9085644984984976,0.3391654172737636,0.3391654172737636,1.0,0.8360728889272074,1.193721313155739
