date,A_pullback,B1_panic,B2_crash,B3_snapback,C_breakout,D_overheat,D_leverage,D_distribute,D_breakdown,trend,breakdown,entry,n_derisk,D_divergence
2024-06-03,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-04,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-05,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-06,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-07,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-11,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-12,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-13,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-14,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-17,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-18,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-19,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-20,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-21,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-24,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-25,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-26,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-27,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-06-28,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-01,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-02,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-03,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-04,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-05,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-08,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-09,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-10,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-11,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-12,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-07-15,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-16,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-17,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-18,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-19,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-22,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-23,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-24,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-25,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-26,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-29,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-30,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-07-31,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-01,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-02,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-05,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-06,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-07,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-08,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-09,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-12,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-13,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-14,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-15,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-16,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-19,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-20,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-21,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-22,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-23,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-26,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-27,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-28,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-29,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-08-30,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-09-02,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-09-03,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-09-04,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-09-05,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-09-06,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2024-09-09,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-10,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-11,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-12,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-13,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-18,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-19,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-20,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-23,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-24,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-25,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-09-26,False,False,False,False,True,False,False,False,False,False,False,True,0,False
2024-09-27,False,False,False,False,True,False,False,False,False,False,False,True,0,False
2024-09-30,False,False,False,False,False,True,False,False,False,True,False,False,1,False
2024-10-08,False,False,False,False,False,True,False,False,False,True,False,False,1,False
2024-10-09,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-10-10,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-10-11,True,False,False,True,False,False,False,False,False,True,False,True,0,False
2024-10-14,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-10-15,True,True,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-16,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-10-17,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-18,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-21,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-22,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-23,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-24,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-25,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-28,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-29,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-30,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-10-31,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-01,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-04,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-05,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-06,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-11-07,False,False,False,False,True,False,False,False,False,True,False,True,0,False
2024-11-08,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-11-11,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-12,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-13,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-14,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-15,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-18,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-19,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-11-20,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-21,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-22,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-25,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-26,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-27,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-28,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-11-29,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-02,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-03,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-04,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-05,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-12-06,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-12-09,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-12-10,False,False,False,False,False,False,True,False,False,True,False,False,1,False
2024-12-11,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-12-12,False,False,False,False,False,False,True,False,False,True,False,False,1,False
2024-12-13,False,False,False,False,False,False,True,False,False,True,False,False,1,False
2024-12-16,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-17,True,False,False,True,False,False,False,False,False,True,False,True,0,False
2024-12-18,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-19,True,True,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-20,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-23,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-24,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-25,False,False,False,False,False,False,False,False,False,True,False,False,0,False
2024-12-26,True,False,False,False,False,False,False,False,False,True,False,True,0,False
2024-12-27,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-12-30,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2024-12-31,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-01-02,False,True,False,False,False,False,False,False,False,False,False,True,0,False
2025-01-03,False,True,False,False,False,False,False,False,True,False,True,True,0,False
2025-01-06,False,True,False,False,False,False,False,False,True,False,True,True,0,False
2025-01-07,False,True,False,False,False,False,False,False,True,False,True,True,0,False
2025-01-08,False,True,False,False,False,False,False,False,True,False,True,True,0,False
2025-01-09,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-10,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-13,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-14,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-15,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-16,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-17,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-20,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-21,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-22,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-23,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-24,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-01-27,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-02-05,False,False,False,False,False,False,False,False,True,False,True,False,0,False
2025-02-06,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-07,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-10,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-11,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-12,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-13,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-14,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-17,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-18,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-19,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-20,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-21,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-24,False,False,False,False,True,False,False,False,False,False,False,True,0,False
2025-02-25,False,False,False,False,True,False,False,False,False,False,False,True,0,False
2025-02-26,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-27,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-02-28,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-03,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-04,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-05,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-06,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-07,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-10,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-11,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-12,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-13,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-14,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-17,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-18,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-19,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-20,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-21,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-24,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-25,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-26,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-27,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-28,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-03-31,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-01,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-02,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-03,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-07,False,True,False,False,False,False,False,False,False,False,False,True,0,False
2025-04-08,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-09,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-10,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-11,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-14,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-15,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-16,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-17,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-18,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-21,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-22,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-23,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-24,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-25,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-28,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-29,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-04-30,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2025-05-06,False,False,False,False,False,False,False,False,False,False,False,False,0,False
