date,收盘价,建议仓位,状态,距MA20%,MA20,MA60,次日成交价,成交日,信号日
2026-01-05,7.18,1.0,持有(延续2025年底持仓),1.7285349957494978,7.058,6.332166666666667,7.14,2026-01-06,2026-01-05
2026-03-13,12.05,0.0,卖出:跌破MA20×0.95,-5.09942902146091,12.6975,9.297166666666667,12.22,2026-03-16,2026-03-13
2026-03-23,10.25,0.7,买入:抄底先手(B2个股崩跌),-19.89371263334766,12.7955,9.719999999999999,10.54,2026-03-24,2026-03-23
2026-03-24,10.8,0.0,卖出:跌破MA20×0.95,-14.125551624060739,12.5765,9.790333333333335,11.44,2026-03-25,2026-03-24
2026-04-08,12.29,1.0,买入:趋势确认(收盘>MA20×1.05且MA20>MA60),7.153755612711965,11.4695,10.533666666666667,12.08,2026-04-09,2026-04-08
2026-07-08,37.16,0.0,卖出:跌破MA20×0.95,-8.279751693838012,40.5145,25.817166666666665,37.91,2026-07-09,2026-07-08
2026-07-10,37.77,0.7,买入:抄底先手(B1系统恐慌),-9.562177499491176,41.7635,26.634333333333334,36.41,2026-07-13,2026-07-10
2026-07-13,33.96,0.0,卖出:跌破MA20×0.95,-19.2197906755471,42.04,26.952833333333334,33.67,2026-07-14,2026-07-13
2026-07-16,34.8,0.7,买入:抄底先手(B1系统恐慌),-17.013437622959625,41.9345,28.090666666666667,34.2,2026-07-17,2026-07-16
2026-07-17,31.59,0.0,卖出:跌破MA20×0.95,-23.825369841212428,41.4705,28.386166666666664,33.0,2026-07-20,2026-07-17
2026-07-20,26.7,0.7,买入:抄底先手(B2个股崩跌),-34.440720415454315,40.7265,28.5975,27.55,2026-07-21,2026-07-20
2026-07-21,29.8,0.0,卖出:跌破MA20×0.95,-26.063763801017238,40.305,28.861166666666666,29.02,2026-07-22,2026-07-21
2026-07-22,27.29,0.7,买入:抄底先手(B2个股崩跌),-30.773816318506388,39.421499999999995,29.066333333333333,27.78,2026-07-23,2026-07-22
2026-07-23,26.71,0.0,卖出:跌破MA20×0.95,-30.377437180690226,38.364,29.266,26.23,2026-07-24,2026-07-23
2026-07-24,25.7,0.7,买入:抄底先手(B2个股崩跌),-30.608993830410537,37.0365,29.437333333333335,26.13,2026-07-27,2026-07-24
2026-07-27,30.84,0.0,卖出:跌破MA20×0.95,-14.77955704160161,36.1885,29.68616666666667,30.9,2026-07-28,2026-07-27
2026-08-03,27.88,0.7,买入:抄底先手(B1系统恐慌),-14.138769979366195,32.471,30.720000000000002,27.76,2026-08-04,2026-08-03
2026-08-04,29.98,0.0,卖出:跌破MA20×0.95,-6.180566421530276,31.955000000000002,30.913,28.8,2026-08-05,2026-08-04
2026-08-05,34.19,1.0,买入:趋势确认(收盘>MA20×1.05且MA20>MA60),7.4937512772546455,31.8065,31.187166666666666,32.89,2026-08-06,2026-08-05
2026-08-07,38.32,0.0,卖出:MA20下穿MA60,21.06851176089599,31.651500000000006,31.75583333333333,38.34,2026-08-10,2026-08-07
2026-08-19,33.79,0.7,买入:抄底先手(B1系统恐慌),0.5250866467341853,33.6135,34.12233333333334,34.35,2026-08-20,2026-08-19
2026-08-20,32.49,0.0,卖出:MA20下穿MA60,-4.166359413022624,33.902499999999996,34.30433333333333,32.49,2026-08-21,2026-08-20
2026-08-21,32.43,0.7,买入:抄底先手(B1系统恐慌),-5.2834486988522,34.239000000000004,34.432,32.03,2026-08-24,2026-08-21
2026-08-24,30.09,0.0,卖出:跌破MA20×0.95,-12.021402570062712,34.201499999999996,34.5445,29.55,2026-08-25,2026-08-24
2026-08-25,30.15,0.7,买入:抄底先手(B1系统恐慌),-12.010622929769,34.265499999999996,34.69116666666667,30.34,2026-08-26,2026-08-25
2026-08-26,29.62,0.0,卖出:跌破MA20×0.95,-13.48414703605798,34.23649999999999,34.79866666666667,29.91,2026-08-27,2026-08-26
2026-08-28,30.2,0.7,买入:抄底先手(B1系统恐慌),-11.326433237906475,34.0575,35.07633333333334,28.74,2026-08-31,2026-08-28
2026-08-31,31.0,0.0,卖出:跌破MA20×0.95,-9.392491268066694,34.213499999999996,35.23066666666667,31.82,2026-09-01,2026-08-31
2026-09-03,27.32,0.7,买入:抄底先手(B1系统恐慌),-18.230522881685673,33.411,35.410666666666664,27.65,2026-09-04,2026-09-03
2026-09-04,26.38,0.0,卖出:跌破MA20×0.95,-19.607484610227345,32.814,35.409666666666666,26.65,2026-09-07,2026-09-04
