买入日,买入价,卖出日,卖出价,标的涨跌%,持有天
2026-01-06,7.15,2026-03-16,12.21,70.8,69
2026-03-24,10.55,2026-03-25,11.43,8.3,1
2026-04-09,12.09,2026-07-09,37.87,213.2,91
2026-07-13,36.45,2026-07-14,33.64,-7.7,1
2026-07-17,34.23,2026-07-20,32.97,-3.7,3
2026-07-21,27.58,2026-07-22,28.99,5.1,1
2026-07-23,27.81,2026-07-24,26.2,-5.8,1
2026-07-27,26.16,2026-07-28,30.87,18.0,1
2026-08-04,27.79,2026-08-05,28.77,3.5,1
2026-08-06,32.92,2026-08-10,38.3,16.3,4
2026-08-20,34.38,2026-08-21,32.46,-5.6,1
2026-08-24,32.06,2026-08-25,29.52,-7.9,1
2026-08-26,30.37,2026-08-27,29.88,-1.6,1
2026-08-31,28.77,2026-09-01,31.79,10.5,1
2026-09-04,27.68,2026-09-07,26.62,-3.8,3
