date,close,pct_chg,mom_20d,vol_ratio_20,overnight_qqq,overnight_soxx,fwd_1d,fwd_5d,fwd_20d,below_ma60
2020-07-15,1612.04,-5.26,,,0.71,1.65,-8.82,-7.12,-9.52,
2020-07-16,1469.80,-8.82,,,0.2,-0.17,-1.80,1.66,-0.11,
2020-07-17,1443.40,-1.80,,,-0.68,-0.37,1.08,-3.75,2.82,
2020-07-24,1389.31,-7.02,,,-2.61,-1.53,-1.06,8.90,4.20,
2020-08-04,1566.06,-3.50,-0.39,0.90,1.35,1.81,1.44,-4.74,-8.90,
2020-08-07,1526.80,-2.99,-7.74,0.87,1.32,-0.05,0.58,-2.80,-8.94,
2020-08-11,1491.84,-2.85,-12.33,0.70,-0.43,-0.0,-2.23,1.39,-9.87,
2020-08-12,1458.64,-2.23,-9.52,0.79,-1.89,-1.04,0.66,0.92,-11.01,
2020-08-19,1472.02,-2.68,-1.68,1.11,0.96,-0.53,-2.00,-6.03,-8.31,
2020-08-20,1442.58,-2.00,-3.45,0.87,-0.67,-0.57,0.36,-1.73,-4.09,
2020-08-25,1427.70,-1.58,1.94,0.78,0.62,1.04,-3.11,-0.07,-2.63,
2020-08-26,1383.31,-3.11,-6.34,0.97,0.79,0.97,2.48,2.87,2.93,
2020-09-07,1356.70,-2.42,-11.65,1.06,-1.33,-1.04,-0.89,-0.64,10.39,
2020-09-09,1298.08,-3.46,-11.01,1.09,-4.81,-4.67,-1.38,3.97,12.00,
2020-09-24,1394.93,-2.03,-1.60,0.95,-3.05,-2.66,-2.22,5.09,-0.07,1
2020-09-25,1364.02,-2.22,-3.51,0.74,0.47,0.84,-1.84,9.28,2.70,1
2020-09-28,1338.95,-1.84,-5.92,0.88,2.32,1.37,3.81,11.85,8.22,1
2020-10-15,1453.79,-2.34,12.00,0.90,-0.84,-0.4,-1.05,-5.31,-2.79,0
2020-10-19,1412.15,-1.83,7.59,0.81,-0.55,-0.48,0.99,-3.97,2.46,1
2020-10-21,1396.98,-2.05,2.37,0.78,0.21,-0.16,-1.46,0.65,1.59,1
2020-10-23,1336.53,-2.91,-3.40,0.81,-0.0,0.04,1.46,4.29,7.05,1
2020-11-06,1441.47,-2.30,-1.67,1.01,2.61,4.49,3.03,-0.32,-2.54,0
2020-11-10,1441.97,-2.91,-3.71,1.29,-2.04,-1.17,-3.22,-0.77,-3.00,0
2020-11-11,1395.51,-3.22,-6.26,1.23,-1.79,-3.0,1.27,1.70,-2.18,1
2020-11-25,1388.36,-1.73,-1.26,0.93,1.41,0.54,-0.22,1.45,-0.85,1
2020-12-09,1365.04,-2.41,-2.18,1.06,0.34,0.32,-0.36,-1.46,1.24,1
2020-12-22,1358.62,-2.16,-3.83,1.09,-0.37,-0.45,1.32,-1.56,9.04,1
2020-12-24,1348.01,-2.08,-2.69,1.18,-0.5,-0.75,0.13,3.34,10.26,1
2021-01-07,1381.94,-2.34,1.24,1.23,-1.39,-0.32,-0.23,4.73,0.88,1
2021-01-19,1443.92,-2.52,3.98,1.01,-0.79,-2.03,2.60,2.39,-3.70,0
2021-01-28,1421.59,-2.52,4.31,0.76,-2.79,-5.19,0.03,-1.93,-6.85,0
2021-02-03,1410.15,-1.94,-0.34,0.94,1.63,1.62,-1.14,1.91,-12.58,0
2021-02-05,1368.80,-1.81,-0.72,0.80,1.18,0.82,1.00,4.32,-7.85,1
2021-02-22,1389.92,-2.66,-6.17,1.14,-0.44,2.41,0.04,-2.29,-10.59,1
2021-02-24,1365.64,-1.79,-7.82,0.96,-0.3,-0.75,-1.17,-0.46,-10.56,1
2021-02-26,1325.59,-1.79,-10.81,1.02,-3.49,-5.7,2.46,0.32,-5.20,1
2021-03-04,1324.16,-2.59,-6.85,1.13,-2.9,-3.06,0.43,-4.29,-4.34,1
2021-03-08,1275.46,-4.09,-10.27,1.07,1.51,3.0,-3.55,-4.08,1.66,1
2021-03-09,1230.14,-3.55,-14.46,1.09,-2.83,-5.4,0.21,-0.79,5.58,1
2021-03-15,1223.39,-3.01,-11.51,0.78,-0.81,-1.06,-0.25,1.58,1.47,1
2021-04-09,1271.44,-1.58,0.33,1.07,1.04,1.14,-2.20,0.26,-0.04,1
2021-04-12,1243.50,-2.20,-1.41,1.13,0.61,-0.31,-0.17,4.46,2.57,1
2021-05-07,1263.90,-3.53,-2.52,0.97,0.75,0.82,-0.74,2.90,13.26,1
2021-06-02,1426.85,-2.31,7.91,1.80,-0.33,-0.28,-0.86,0.03,10.72,0
2021-06-16,1406.47,-2.88,6.42,0.84,-0.65,-0.82,4.77,9.09,10.68,0
2021-06-24,1504.81,-1.92,10.32,1.14,0.05,0.42,2.00,4.98,5.14,0
2021-07-02,1538.16,-2.64,8.74,0.85,0.04,-1.43,2.45,2.96,3.45,0
2021-07-06,1532.79,-2.73,6.92,0.99,1.15,0.61,2.43,3.80,2.05,0
2021-07-09,1583.71,-1.68,9.19,0.89,-0.6,-1.28,1.13,-3.69,0.19,0
2021-07-14,1556.72,-2.15,10.68,0.80,0.0,-0.4,0.26,0.57,1.42,0
2021-07-16,1525.23,-2.27,2.04,0.84,-0.7,-2.22,-0.72,2.51,1.81,0
2021-07-28,1518.70,-1.72,-4.38,1.25,-1.1,-1.84,4.59,5.74,1.59,0
2021-08-03,1564.19,-2.21,2.05,1.17,0.01,0.63,2.67,1.53,-7.86,0
2021-08-13,1552.78,-2.13,1.81,1.01,0.36,-1.07,-0.31,-1.53,-8.11,0
2021-08-17,1509.25,-2.50,-0.88,0.86,0.04,-0.37,-0.08,4.56,-7.46,1
2021-08-25,1542.78,-2.23,1.59,0.90,0.31,0.0,-2.95,-7.66,-10.88,0
2021-08-26,1497.34,-2.95,-5.74,0.89,0.11,0.76,-1.14,-6.54,-8.59,1
2021-08-31,1441.17,-2.06,-7.86,0.94,1.12,0.2,-1.15,-0.18,-5.03,1
2021-09-02,1399.48,-1.77,-12.79,1.01,0.17,-0.54,0.10,0.19,-3.55,1
2021-09-08,1412.72,-1.80,-10.52,0.90,0.14,-0.37,-0.75,-2.00,-3.51,1
2021-09-13,1384.43,-2.97,-10.56,0.87,-0.76,0.79,0.88,-2.11,-0.78,1
2021-09-16,1351.43,-2.39,-12.59,0.87,0.74,0.58,-0.13,1.28,2.14,1
2021-10-12,1319.39,-2.25,-5.82,0.74,-0.77,-0.67,1.92,3.59,7.66,1
2021-12-02,1429.50,-1.85,1.33,0.92,-1.7,-0.8,1.07,0.35,-3.77,0
2021-12-06,1405.77,-2.70,0.35,0.94,-1.74,-0.25,-1.16,2.84,-2.90,0
2021-12-17,1399.06,-1.88,-3.16,0.89,-2.57,-4.36,-2.51,-2.88,-4.34,1
2021-12-20,1363.96,-2.51,-7.84,0.87,-0.5,-0.24,0.78,-0.61,-1.58,1
2022-01-04,1364.99,-2.37,-2.90,1.20,0.96,1.99,-2.32,-5.17,-11.79,1
2022-01-05,1333.33,-2.32,-4.04,1.16,-1.3,-0.31,-0.93,-1.27,-9.23,1
2022-01-11,1294.40,-1.81,-10.47,1.03,0.07,0.04,1.70,3.71,-7.05,1
2022-01-13,1294.65,-1.65,-9.14,1.06,0.4,0.73,1.36,0.88,-6.71,1
2022-01-25,1277.00,-2.35,-5.80,0.96,0.46,1.14,-0.05,-5.71,-2.97,1
2022-01-27,1240.55,-2.81,-8.53,1.21,-0.16,1.54,-0.91,-4.22,-2.48,1
2022-02-08,1204.05,-2.40,-11.79,0.89,-0.8,-0.06,0.52,-0.08,-5.56,1
2022-02-10,1188.20,-1.83,-10.05,0.97,2.12,3.28,-1.57,1.65,-2.93,1
2022-02-11,1169.59,-1.57,-10.41,0.97,-2.26,-3.12,-0.01,2.97,-0.72,1
2022-03-03,1209.82,-1.66,-2.48,0.93,1.68,3.18,-0.56,-4.67,-9.82,1
2022-03-07,1169.98,-2.75,-5.16,1.01,-1.45,-2.65,-2.81,-3.74,-9.53,1
2022-03-08,1137.07,-2.81,-5.56,1.18,-3.69,-5.02,-0.65,-3.84,-8.88,1
2022-03-14,1126.28,-3.01,-3.69,1.04,-2.07,-2.15,-2.92,2.31,-14.33,1
2022-03-15,1093.43,-2.92,-9.12,1.21,-1.92,-3.24,2.93,3.74,-10.78,1
2022-03-22,1134.32,-1.56,-4.19,1.06,-0.4,-0.2,0.86,-4.79,-15.57,1
2022-03-25,1106.86,-2.44,-10.80,0.79,2.22,4.85,-1.46,-1.60,-21.57,1
2022-03-31,1091.06,-1.93,-9.82,0.83,-1.1,-3.2,-0.17,-9.38,-12.37,1
2022-04-06,1058.49,-2.82,-9.53,0.85,-2.22,-4.6,-2.12,-8.85,-10.56,1
2022-04-07,1036.07,-2.12,-8.88,0.81,-2.17,-2.49,-0.85,-5.84,-6.17,1
2022-04-11,988.76,-3.75,-14.27,0.86,-1.4,-2.48,0.57,1.60,2.46,1
2022-04-13,964.83,-2.98,-14.33,0.70,-0.42,-0.3,1.11,0.90,3.28,1
2022-04-20,973.51,-1.66,-15.52,0.84,2.24,2.19,-1.62,-6.89,7.46,1
2022-04-21,957.72,-1.62,-15.57,0.97,-1.46,-0.22,-1.63,-5.71,4.06,1
2022-04-22,942.07,-1.63,-17.66,0.92,-2.07,-2.67,-6.13,0.54,6.84,1
2022-04-25,884.30,-6.13,-22.06,1.31,-2.62,-2.22,-1.84,8.12,13.57,1
2022-04-26,868.07,-1.84,-21.57,1.15,1.28,1.69,4.42,8.54,14.47,1
2022-05-24,996.65,-4.73,4.06,1.13,1.66,0.43,0.99,3.88,6.73,1
2022-06-09,1081.17,-2.74,7.85,1.10,-0.72,-2.13,2.01,-0.21,2.82,0
2022-06-14,1070.54,-1.64,7.43,1.03,-4.65,-5.77,-0.73,1.17,-1.99,0
2022-06-22,1063.69,-1.78,6.73,0.91,2.33,2.62,1.71,2.54,1.49,0
2022-06-29,1090.68,-2.38,5.35,1.04,-3.05,-2.44,1.37,1.01,0.46,0
2022-07-01,1089.03,-1.50,0.85,0.90,-1.24,-1.31,0.56,1.38,-0.01,0
2022-07-11,1081.16,-2.07,-0.66,0.88,0.13,0.48,-2.95,-1.09,6.61,0
2022-07-12,1049.24,-2.95,-1.99,0.89,-2.14,-2.3,0.34,1.20,10.78,0
2022-07-29,1088.91,-1.79,-0.01,1.11,0.98,1.23,1.03,6.28,-3.94,0
2022-08-12,1146.19,-2.30,6.89,1.13,-0.57,-0.13,-0.21,-3.29,-9.81,0
2022-08-19,1108.45,-3.33,2.16,1.22,0.24,2.28,-0.11,-5.63,-11.99,0
2022-08-24,1068.98,-3.46,-2.44,1.03,-0.08,0.5,-1.22,-3.68,-8.71,1
2022-08-31,1029.66,-1.96,-6.42,0.88,-1.11,-1.16,-0.39,1.93,-6.62,1
2022-09-15,1000.08,-3.03,-11.68,1.01,0.79,1.14,-0.16,-2.42,-3.61,1
2022-09-19,975.55,-2.30,-11.99,0.87,-0.61,0.6,0.98,-1.41,-0.62,1
2022-09-23,960.94,-1.53,-8.99,0.96,-1.23,-2.72,0.09,-2.24,3.41,1
2022-09-28,956.19,-2.07,-8.96,0.99,0.04,0.93,0.55,-3.27,8.47,1
2022-09-30,939.38,-2.30,-8.41,0.87,-2.88,-3.11,-4.48,1.65,14.21,1
2022-10-10,897.34,-4.48,-12.89,1.00,-3.81,-6.0,-0.51,7.34,18.28,1
2022-11-25,999.99,-1.51,0.63,0.80,1.0,1.21,-0.72,0.82,-7.96,1
2022-12-13,989.31,-1.52,-5.96,0.86,1.26,1.77,-0.51,-3.69,-1.55,1
2022-12-19,956.19,-2.27,-7.39,0.78,-0.95,-0.76,-0.36,-0.53,4.97,1
2023-01-11,973.96,-1.65,-1.55,1.04,0.85,1.29,0.02,3.37,5.16,1
2023-01-31,1014.36,-1.67,6.65,1.16,-2.02,-2.66,1.19,0.57,-2.36,0
2023-02-16,1005.18,-1.86,3.18,1.43,0.77,0.41,-1.88,-1.27,-1.27,0
2023-02-17,986.33,-1.88,1.23,1.00,-1.88,-2.45,1.27,0.44,2.98,1
2023-03-07,990.58,-1.69,-2.90,1.16,0.11,-1.16,0.44,2.30,13.98,1
2023-03-28,1038.63,-1.78,4.86,1.01,-0.69,-1.17,2.26,8.71,2.93,0
2023-04-10,1129.17,-2.74,13.65,1.32,0.67,-0.52,-0.66,0.97,-9.14,0
2023-04-13,1100.13,-2.59,9.22,1.07,-0.88,-1.83,3.28,5.89,-6.75,0
2023-04-21,1116.83,-4.13,5.46,1.31,-0.76,-0.09,-1.83,-2.59,-9.41,0
2023-04-24,1096.38,-1.83,3.34,1.05,0.1,-0.73,-1.78,-2.94,-6.81,0
2023-04-25,1076.86,-1.78,1.83,1.02,-0.21,-0.45,-0.73,-2.58,-3.55,0
2023-05-04,1064.20,-2.18,-1.60,0.88,-0.65,-1.15,-1.42,-3.59,-1.00,0
2023-05-09,1034.21,-2.18,-9.83,0.87,0.25,0.42,-0.82,-0.81,-1.09,1
2023-05-23,1016.11,-1.55,-12.78,0.78,0.34,0.35,-0.43,2.79,3.87,1
2023-06-06,1022.98,-2.73,-1.09,1.03,0.07,-1.55,-0.38,1.61,-2.04,1
