episode_id,dates,drops,n_days,cum_drop_pct,start,end
1,"['2020-07-15', '2020-07-16', '2020-07-17', '2020-07-24']","[-5.26, -8.82, -1.8, -7.02]",4,-18.35,2020-07-15,2020-07-24
2,"['2020-08-04', '2020-08-07', '2020-08-11', '2020-08-12', '2020-08-19', '2020-08-20', '2020-08-25', '2020-08-26']","[-3.5, -2.99, -2.85, -2.23, -2.68, -2.0, -1.58, -3.11]",8,-14.76,2020-08-04,2020-08-26
3,"['2020-09-07', '2020-09-09']","[-2.42, -3.46]",2,-6.63,2020-09-07,2020-09-09
4,"['2020-09-24', '2020-09-25', '2020-09-28']","[-2.03, -2.22, -1.84]",3,-5.97,2020-09-24,2020-09-28
5,"['2020-10-15', '2020-10-19', '2020-10-21', '2020-10-23']","[-2.34, -1.83, -2.05, -2.91]",4,-10.22,2020-10-15,2020-10-23
6,"['2020-11-06', '2020-11-10', '2020-11-11']","[-2.3, -2.91, -3.22]",3,-5.41,2020-11-06,2020-11-11
7,['2020-11-25'],[-1.73],1,-1.73,2020-11-25,2020-11-25
8,['2020-12-09'],[-2.41],1,-2.41,2020-12-09,2020-12-09
9,"['2020-12-22', '2020-12-24']","[-2.16, -2.08]",2,-2.93,2020-12-22,2020-12-24
10,['2021-01-07'],[-2.34],1,-2.34,2021-01-07,2021-01-07
11,['2021-01-19'],[-2.52],1,-2.52,2021-01-19,2021-01-19
12,"['2021-01-28', '2021-02-03', '2021-02-05']","[-2.52, -1.94, -1.81]",3,-6.14,2021-01-28,2021-02-05
13,"['2021-02-22', '2021-02-24', '2021-02-26', '2021-03-04', '2021-03-08', '2021-03-09', '2021-03-15']","[-2.66, -1.79, -1.79, -2.59, -4.09, -3.55, -3.01]",7,-14.32,2021-02-22,2021-03-15
14,"['2021-04-09', '2021-04-12']","[-1.58, -2.2]",2,-3.74,2021-04-09,2021-04-12
15,['2021-05-07'],[-3.53],1,-3.53,2021-05-07,2021-05-07
16,['2021-06-02'],[-2.31],1,-2.31,2021-06-02,2021-06-02
17,['2021-06-16'],[-2.88],1,-2.88,2021-06-16,2021-06-16
18,['2021-06-24'],[-1.92],1,-1.92,2021-06-24,2021-06-24
19,"['2021-07-02', '2021-07-06', '2021-07-09', '2021-07-14', '2021-07-16']","[-2.64, -2.73, -1.68, -2.15, -2.27]",5,-3.45,2021-07-02,2021-07-16
20,"['2021-07-28', '2021-08-03']","[-1.72, -2.21]",2,1.22,2021-07-28,2021-08-03
21,"['2021-08-13', '2021-08-17']","[-2.13, -2.5]",2,-4.87,2021-08-13,2021-08-17
22,"['2021-08-25', '2021-08-26', '2021-08-31', '2021-09-02', '2021-09-08', '2021-09-13', '2021-09-16']","[-2.23, -2.95, -2.06, -1.77, -1.8, -2.97, -2.39]",7,-14.36,2021-08-25,2021-09-16
23,['2021-10-12'],[-2.25],1,-2.25,2021-10-12,2021-10-12
24,"['2021-12-02', '2021-12-06']","[-1.85, -2.7]",2,-3.48,2021-12-02,2021-12-06
25,"['2021-12-17', '2021-12-20']","[-1.88, -2.51]",2,-4.35,2021-12-17,2021-12-20
26,"['2022-01-04', '2022-01-05', '2022-01-11', '2022-01-13']","[-2.37, -2.32, -1.81, -1.65]",4,-7.41,2022-01-04,2022-01-13
27,"['2022-01-25', '2022-01-27', '2022-02-08', '2022-02-10', '2022-02-11']","[-2.35, -2.81, -2.4, -1.83, -1.57]",5,-10.56,2022-01-25,2022-02-11
28,"['2022-03-03', '2022-03-07', '2022-03-08', '2022-03-14', '2022-03-15', '2022-03-22', '2022-03-25', '2022-03-31', '2022-04-06', '2022-04-07', '2022-04-11', '2022-04-13', '2022-04-20', '2022-04-21', '2022-04-22', '2022-04-25', '2022-04-26']","[-1.66, -2.75, -2.81, -3.01, -2.92, -1.56, -2.44, -1.93, -2.82, -2.12, -3.75, -2.98, -1.66, -1.62, -1.63, -6.13, -1.84]",17,-29.44,2022-03-03,2022-04-26
29,['2022-05-24'],[-4.73],1,-4.73,2022-05-24,2022-05-24
30,"['2022-06-09', '2022-06-14']","[-2.74, -1.64]",2,-3.70,2022-06-09,2022-06-14
31,"['2022-06-22', '2022-06-29', '2022-07-01']","[-1.78, -2.38, -1.5]",3,0.55,2022-06-22,2022-07-01
32,"['2022-07-11', '2022-07-12']","[-2.07, -2.95]",2,-4.96,2022-07-11,2022-07-12
33,['2022-07-29'],[-1.79],1,-1.79,2022-07-29,2022-07-29
34,"['2022-08-12', '2022-08-19', '2022-08-24', '2022-08-31']","[-2.3, -3.33, -3.46, -1.96]",4,-12.23,2022-08-12,2022-08-31
35,"['2022-09-15', '2022-09-19', '2022-09-23', '2022-09-28', '2022-09-30', '2022-10-10']","[-3.03, -2.3, -1.53, -2.07, -2.3, -4.48]",6,-12.99,2022-09-15,2022-10-10
36,['2022-11-25'],[-1.51],1,-1.51,2022-11-25,2022-11-25
37,"['2022-12-13', '2022-12-19']","[-1.52, -2.27]",2,-4.82,2022-12-13,2022-12-19
38,['2023-01-11'],[-1.65],1,-1.65,2023-01-11,2023-01-11
39,['2023-01-31'],[-1.67],1,-1.67,2023-01-31,2023-01-31
40,"['2023-02-16', '2023-02-17']","[-1.86, -1.88]",2,-3.70,2023-02-16,2023-02-17
41,['2023-03-07'],[-1.69],1,-1.69,2023-03-07,2023-03-07
42,['2023-03-28'],[-1.78],1,-1.78,2023-03-28,2023-03-28
43,"['2023-04-10', '2023-04-13']","[-2.74, -2.59]",2,-5.24,2023-04-10,2023-04-13
44,"['2023-04-21', '2023-04-24', '2023-04-25', '2023-05-04', '2023-05-09']","[-4.13, -1.83, -1.78, -2.18, -2.18]",5,-11.22,2023-04-21,2023-05-09
45,['2023-05-23'],[-1.55],1,-1.55,2023-05-23,2023-05-23
46,['2023-06-06'],[-2.73],1,-2.73,2023-06-06,2023-06-06
47,['2023-06-21'],[-3.33],1,-3.33,2023-06-21,2023-06-21
48,['2023-07-12'],[-1.64],1,-1.64,2023-07-12,2023-07-12
49,"['2023-08-11', '2023-08-16', '2023-08-23', '2023-08-25']","[-2.13, -1.71, -2.4, -1.7]",4,-9.25,2023-08-11,2023-08-25
50,['2023-09-07'],[-3.72],1,-3.72,2023-09-07,2023-09-07
51,"['2023-10-16', '2023-10-23']","[-1.98, -2.51]",2,-5.78,2023-10-16,2023-10-23
52,"['2023-11-16', '2023-11-22']","[-1.67, -1.6]",2,-3.48,2023-11-16,2023-11-22
53,['2023-12-05'],[-1.87],1,-1.87,2023-12-05,2023-12-05
54,"['2024-01-05', '2024-01-08']","[-1.96, -2.88]",2,-4.78,2024-01-05,2024-01-08
55,"['2024-01-17', '2024-01-22', '2024-01-26', '2024-01-29', '2024-01-30', '2024-01-31', '2024-02-02']","[-2.62, -3.04, -2.57, -2.79, -3.79, -1.86, -2.41]",7,-13.38,2024-01-17,2024-02-02
56,['2024-02-28'],[-3.18],1,-3.18,2024-02-28,2024-02-28
57,['2024-03-07'],[-2.18],1,-2.18,2024-03-07,2024-03-07
58,"['2024-03-19', '2024-03-25', '2024-03-27', '2024-04-03', '2024-04-08', '2024-04-10', '2024-04-16', '2024-04-19']","[-1.65, -1.58, -2.5, -1.56, -2.13, -1.85, -2.36, -2.03]",8,-11.49,2024-03-19,2024-04-19
59,['2024-05-10'],[-1.5],1,-1.50,2024-05-10,2024-05-10
60,"['2024-05-23', '2024-05-24']","[-1.66, -2.05]",2,-3.68,2024-05-23,2024-05-24
61,"['2024-06-24', '2024-06-25', '2024-06-27', '2024-07-04']","[-2.54, -2.89, -1.96, -1.62]",4,-8.97,2024-06-24,2024-07-04
62,"['2024-07-23', '2024-07-29', '2024-08-02', '2024-08-05']","[-4.11, -1.7, -1.79, -2.94]",4,-6.34,2024-07-23,2024-08-05
63,['2024-09-02'],[-3.48],1,-3.48,2024-09-02,2024-09-02
64,"['2024-10-09', '2024-10-10', '2024-10-11', '2024-10-15', '2024-10-16']","[-2.55, -4.38, -5.79, -2.93, -2.57]",5,-14.48,2024-10-09,2024-10-16
65,"['2024-10-30', '2024-11-01']","[-1.7, -3.06]",2,-3.65,2024-10-30,2024-11-01
66,"['2024-11-12', '2024-11-14', '2024-11-15', '2024-11-18', '2024-11-22']","[-2.17, -3.21, -3.94, -1.84, -4.16]",5,-9.73,2024-11-12,2024-11-22
67,['2024-12-13'],[-2.09],1,-2.09,2024-12-13,2024-12-13
68,"['2024-12-31', '2025-01-02']","[-3.11, -3.4]",2,-6.40,2024-12-31,2025-01-02
69,['2025-01-16'],[-2.17],1,-2.17,2025-01-16,2025-01-16
70,['2025-01-27'],[-2.02],1,-2.02,2025-01-27,2025-01-27
71,"['2025-02-13', '2025-02-18']","[-2.31, -2.52]",2,-2.88,2025-02-13,2025-02-18
72,"['2025-02-28', '2025-03-03']","[-4.22, -1.52]",2,-5.68,2025-02-28,2025-03-03
73,['2025-03-13'],[-2.11],1,-2.11,2025-03-13,2025-03-13
74,['2025-03-21'],[-2.06],1,-2.06,2025-03-21,2025-03-21
75,['2025-04-07'],[-9.22],1,-9.22,2025-04-07,2025-04-07
76,['2025-05-09'],[-1.96],1,-1.96,2025-05-09,2025-05-09
77,"['2025-08-29', '2025-09-02', '2025-09-03', '2025-09-04', '2025-09-09']","[-1.71, -2.13, -1.64, -6.09, -2.38]",5,-8.73,2025-08-29,2025-09-09
78,"['2025-09-26', '2025-10-10', '2025-10-14', '2025-10-17']","[-1.61, -5.61, -4.26, -3.77]",4,-7.55,2025-09-26,2025-10-17
79,"['2025-10-30', '2025-10-31']","[-1.87, -3.13]",2,-4.94,2025-10-30,2025-10-31
80,"['2025-11-14', '2025-11-21']","[-2.72, -3.19]",2,-8.11,2025-11-14,2025-11-21
81,"['2025-12-11', '2025-12-15', '2025-12-16']","[-1.55, -2.22, -1.94]",3,-3.96,2025-12-11,2025-12-16
82,"['2026-01-13', '2026-01-20']","[-2.8, -1.58]",2,-1.91,2026-01-13,2026-01-20
83,"['2026-01-29', '2026-02-02']","[-3.03, -3.88]",2,-6.68,2026-01-29,2026-02-02
84,"['2026-03-02', '2026-03-03', '2026-03-09']","[-1.56, -5.21, -1.69]",3,-6.56,2026-03-02,2026-03-09
85,"['2026-03-17', '2026-03-19', '2026-03-20', '2026-03-23', '2026-03-26', '2026-03-31', '2026-04-02']","[-2.23, -2.44, -1.55, -4.31, -2.02, -2.59, -2.77]",7,-8.87,2026-03-17,2026-04-02
86,['2026-04-21'],[-1.64],1,-1.64,2026-04-21,2026-04-21
87,"['2026-05-08', '2026-05-14', '2026-05-15', '2026-05-21', '2026-05-27', '2026-05-29', '2026-06-01', '2026-06-05', '2026-06-08']","[-2.29, -2.55, -1.67, -3.7, -2.8, -5.04, -5.0, -4.01, -4.3]",9,-4.90,2026-05-08,2026-06-08
88,"['2026-06-23', '2026-06-26', '2026-07-01', '2026-07-02']","[-1.68, -1.65, -2.48, -7.7]",4,1.97,2026-06-23,2026-07-02
89,"['2026-07-10', '2026-07-13', '2026-07-15', '2026-07-16', '2026-07-17', '2026-07-22', '2026-07-23', '2026-07-28', '2026-07-30', '2026-08-03']","[-5.53, -3.42, -4.25, -4.02, -7.12, -2.26, -3.78, -6.33, -5.38, -5.08]",10,-28.96,2026-07-10,2026-08-03
90,['2026-08-11'],[-1.63],1,-1.63,2026-08-11,2026-08-11
91,"['2026-08-19', '2026-08-24', '2026-08-28', '2026-09-01', '2026-09-02', '2026-09-04', '2026-09-08']","[-6.89, -3.1, -1.85, -2.19, -1.82, -2.1, -1.52]",7,-11.16,2026-08-19,2026-09-08
