date,open,high,low,close,volume
2020-07-01,1453.252,1459.771,1417.602,1439.878,6278613.52
2020-07-02,1439.009,1452.745,1424.148,1437.052,5994840.48
2020-07-03,1435.082,1441.089,1408.08,1438.585,6024870.37
2020-07-06,1445.607,1547.135,1444.686,1538.402,9449414.67
2020-07-07,1550.296,1617.6,1550.296,1572.189,10320028.01
2020-07-08,1572.776,1608.193,1555.306,1599.905,7913151.86
2020-07-09,1596.984,1681.906,1594.256,1666.85,9680794.36
2020-07-10,1653.505,1682.619,1633.183,1654.826,7818090.11
2020-07-13,1647.183,1721.976,1640.984,1721.976,8097677.94
2020-07-14,1714.871,1726.193,1647.642,1701.582,9448435.48
2020-07-15,1702.581,1707.633,1611.911,1612.035,10008757.26
2020-07-16,1606.435,1612.328,1460.64,1469.798,13819920.26
2020-07-17,1475.464,1495.914,1425.642,1443.397,8965055.76
2020-07-20,1459.784,1463.707,1388.277,1459.034,9053350.01
2020-07-21,1456.487,1499.854,1454.588,1490.171,7598157.0
2020-07-22,1474.015,1519.122,1468.112,1497.231,9910810.97
2020-07-23,1487.2,1512.47,1459.73,1494.14,8947755.0
2020-07-24,1467.1,1474.46,1389.31,1389.31,10254387.0
2020-07-27,1396.49,1403.11,1361.98,1374.52,6206763.0
2020-07-28,1385.79,1404.9,1383.28,1400.54,5444707.0
2020-07-29,1400.92,1476.92,1395.97,1476.92,7326990.0
2020-07-30,1484.43,1496.27,1467.8,1472.79,7402878.0
2020-07-31,1469.1,1513.76,1467.78,1512.98,8554323.0
2020-08-03,1533.23,1622.81,1533.23,1622.81,9665389.0
2020-08-04,1620.79,1628.14,1555.9,1566.06,7827533.0
2020-08-05,1592.39,1597.47,1556.68,1588.62,7167247.0
2020-08-06,1582.47,1589.75,1552.54,1573.87,6986209.0
2020-08-07,1561.86,1568.56,1492.25,1526.8,7357510.0
2020-08-10,1520.1,1555.68,1507.27,1535.6,6018437.0
2020-08-11,1531.6,1539.84,1490.83,1491.84,5771384.0
2020-08-12,1485.56,1488.88,1422.73,1458.64,6336105.0
2020-08-13,1465.6,1482.63,1453.38,1468.23,4944971.0
2020-08-14,1466.8,1486.4,1453.74,1484.04,4313049.0
2020-08-17,1486.81,1501.25,1471.92,1496.4,7506811.0
2020-08-18,1496.42,1512.76,1492.96,1512.51,7946743.0
2020-08-19,1516.98,1517.89,1470.34,1472.02,8016528.0
2020-08-20,1460.03,1473.05,1438.46,1442.58,6154748.0
2020-08-21,1447.8,1467.98,1443.52,1447.71,5215102.0
2020-08-24,1453.49,1457.58,1421.89,1450.67,5606668.0
2020-08-25,1449.54,1462.9,1424.42,1427.7,5269909.0
2020-08-26,1422.0,1430.79,1377.21,1383.31,6544953.0
2020-08-27,1389.94,1429.96,1380.13,1417.56,6056520.0
